Unnamed: 0,Qid,Question,Hardness,Query Gold,Repeated,Query Generated,db_id
10,971,"Find the role, street, city and state of the professionals living in a city that contains the substring 'West'.",medium,"SELECT role_code ,  street ,  city ,  state FROM professionals WHERE city LIKE '%West%'",7,"SELECT role, street, city, state FROM professionals WHERE city LIKE '%West'
SELECT * FROM professionals WHERE city LIKE '%West%'
SELECT role, street, city, state FROM professionals WHERE city LIKE '%West'
SELECT * FROM professionals WHERE city LIKE '%West%'
SELECT role, street, city, state FROM professionals WHERE city LIKE '%West'
SELECT role, street, city, state FROM professionals WHERE city LIKE '%West'
SELECT * FROM professionals WHERE city LIKE '%West%'",dog_kennels
11,752,What are the regions that use English or Dutch?,hard,"SELECT DISTINCT T1.Region FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""English"" OR T2.Language  =  ""Dutch""",7,"SELECT * FROM country WHERE region IN ('English', 'Dutch')
SELECT * FROM country WHERE region IN ('English', 'Dutch')
SELECT * FROM country WHERE region IN ('English', 'Dutch')
SELECT * FROM country WHERE region IN ('English', 'Dutch')
SELECT * FROM country WHERE region IN ('English', 'Dutch')
SELECT * FROM country WHERE region IN ('English', 'Dutch')
SELECT * FROM country WHERE region IN ('English', 'Dutch')",world_1
12,445,Find the name of tourney that has more than 10 matches.,easy,SELECT tourney_name FROM matches GROUP BY tourney_name HAVING count(*)  >  10,7,"SELECT name FROM tourney WHERE matches > 10
SELECT name FROM tourney WHERE matches > 10
SELECT name FROM tourney WHERE matches > 10
SELECT name FROM tourney WHERE matches > 10
SELECT name FROM tourney WHERE matches > 10
SELECT name FROM tourney WHERE matches > 10
SELECT name FROM tourney WHERE matches > 10",wta_1
13,786,Which unique cities are in Asian countries where Chinese is the official language ?,hard,"select distinct t3.name from country as t1 join countrylanguage as t2 on t1.code  =  t2.countrycode join city as t3 on t1.code  =  t3.countrycode where t2.isofficial  =  't' and t2.language  =  'chinese' and t1.continent  =  ""asia""",7,"SELECT DISTINCT city.name FROM city JOIN country ON city.countrycode = country.code JOIN countrylanguage ON country.code = countrylanguage.countrycode WHERE countrylanguage.language = 'Chinese' AND country.continent = 'Asia'
SELECT DISTINCT city.name FROM city JOIN country ON city.countrycode = country.code JOIN countrylanguage ON country.code = countrylanguage.countrycode WHERE countrylanguage.language = 'Chinese' AND country.continent = 'Asia' 
SELECT DISTINCT city.name FROM city JOIN country ON city.countrycode = country.code JOIN countrylanguage ON country.code = countrylanguage.countrycode WHERE countrylanguage.language = 'Chinese' AND country.continent = 'Asia'
SELECT DISTINCT city.name FROM city JOIN country ON city.countrycode = country.code JOIN countrylanguage ON country.code = countrylanguage.countrycode WHERE countrylanguage.language = 'Chinese' AND country.continent = 'Asia' 
SELECT DISTINCT city.name FROM city JOIN country ON city.countrycode = country.code JOIN countrylanguage ON country.code = countrylanguage.countrycode WHERE countrylanguage.language = 'Chinese' AND country.continent = 'Asia' 
SELECT DISTINCT city.name FROM city JOIN country ON city.countrycode = country.code JOIN countrylanguage ON country.code = countrylanguage.countrycode WHERE countrylanguage.language = 'Chinese' AND country.continent = 'Asia' 
SELECT DISTINCT city.name FROM city JOIN country ON city.countrycode = country.code JOIN countrylanguage ON country.code = countrylanguage.countrycode WHERE countrylanguage.language = 'Chinese' AND country.continent = 'Asia' ",world_1
14,332,Return the type code of the template type that the most templates belong to.,hard,SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,7,"SELECT template_type_code FROM ref_template_types WHERE template_type_code IN (     SELECT template_type_code     FROM templates     GROUP BY template_type_code     ORDER BY COUNT(*) DESC     LIMIT 1 )
SELECT template_type_code FROM ref_template_types WHERE template_type_code IN (     SELECT template_type_code     FROM templates     GROUP BY template_type_code     ORDER BY COUNT(*) DESC     LIMIT 1 )
SELECT template_type_code FROM ref_template_types WHERE template_type_code IN (     SELECT template_type_code     FROM templates     GROUP BY template_type_code     HAVING COUNT(*) > 1 ) 
SELECT template_type_code FROM ref_template_types WHERE template_type_code IN (     SELECT template_type_code     FROM templates     GROUP BY template_type_code     ORDER BY COUNT(*) DESC     LIMIT 1 )
SELECT template_type_code FROM ref_template_types WHERE template_type_code IN (     SELECT template_type_code     FROM templates     GROUP BY template_type_code     ORDER BY COUNT(*) DESC     LIMIT 1 )
SELECT template_type_code FROM templates GROUP BY template_type_code ORDER BY COUNT(*) DESC LIMIT 1
SELECT template_type_code FROM templates GROUP BY template_type_code ORDER BY COUNT(*) DESC LIMIT 1",cre_Doc_Template_Mgt
15,261,Sort employee names by their age in ascending order.,easy,SELECT name FROM employee ORDER BY age,7,"SELECT * FROM employee ORDER BY age ASC
SELECT * FROM employee ORDER BY age ASC
SELECT * FROM employee ORDER BY age ASC
SELECT * FROM employee ORDER BY age ASC
SELECT * FROM employee ORDER BY age ASC
SELECT * FROM employee ORDER BY age ASC
SELECT * FROM employee ORDER BY age ASC",employee_hire_evaluation
16,375,What is the document id with least number of paragraphs?,hard,SELECT document_id FROM Paragraphs GROUP BY document_id ORDER BY count(*) ASC LIMIT 1,7,"SELECT document_id FROM documents WHERE paragraphs < (SELECT MIN(paragraphs) FROM documents)
SELECT document_id FROM documents WHERE paragraphs < (SELECT MIN(paragraphs)                       FROM documents)
SELECT document_id FROM documents WHERE paragraphs.length(document_id) = (SELECT MIN(length(document_id))                                              FROM documents)
SELECT document_id FROM documents WHERE paragraphs.length(document_id) = (SELECT MIN(length(document_id))                                              FROM documents)
SELECT document_id FROM documents WHERE paragraphs.length(document_id) = (SELECT MIN(length(document_id))                                              FROM documents)
SELECT document_id FROM documents WHERE paragraphs.length(document_id) = (SELECT MIN(length(document_id))                                              FROM documents)
SELECT document_id FROM documents WHERE paragraphs.length(document_id) = (SELECT MIN(length(document_id)) FROM documents) ",cre_Doc_Template_Mgt
17,911,What are the names of high schoolers who have a grade of over 5 and have 2 or more friends?,hard,SELECT T2.name FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id WHERE T2.grade  >  5 GROUP BY T1.student_id HAVING count(*)  >=  2,7,"SELECT name FROM highschooler WHERE grade > 5 AND id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id = id))
SELECT name FROM highschooler WHERE grade > 5 AND id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id = id))
SELECT name FROM highschooler WHERE grade > 5 AND id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id = id))
SELECT name FROM highschooler WHERE grade > 5 AND id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id = id))
SELECT name FROM highschooler WHERE grade > 5 AND id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT id FROM highschooler WHERE grade > 5)))
SELECT name FROM highschooler WHERE grade > 5 AND id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id = id))
SELECT name FROM highschooler WHERE grade > 5 AND id IN (SELECT friend_id FROM friend WHERE student_id = id) GROUP BY name HAVING COUNT(*) > 1",network_1
18,901,What are the names of high schoolers who both have friends and are liked?,hard,SELECT T2.name FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id INTERSECT SELECT T2.name FROM Likes AS T1 JOIN Highschooler AS T2 ON T1.liked_id  =  T2.id,7,"SELECT name FROM highschooler WHERE id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked
SELECT name FROM highschooler WHERE id IN (SELECT student_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT student_id FROM highschooler WHERE grade = 10))) 
SELECT name FROM highschooler WHERE id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes
SELECT name FROM highschooler WHERE id IN (SELECT student_id FROM friend WHERE friend_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT student_id FROM highschooler WHERE grade = '10'))) 
SELECT name FROM highschooler WHERE id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT student_id FROM likes WHERE liked
SELECT name FROM highschooler WHERE id IN (SELECT student_id FROM likes WHERE liked_id IN (SELECT friend_id FROM friend WHERE student_id IN (SELECT id FROM highschooler WHERE grade = 12))) 
SELECT name FROM highschooler WHERE id IN (SELECT student_id FROM friend WHERE friend_id IN (SELECT liked_id FROM likes))",network_1
19,281,Find the names of employees who never won any award in the evaluation.,hard,SELECT name FROM employee WHERE Employee_ID NOT IN (SELECT Employee_ID FROM evaluation),7,"SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM evaluation)
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM evaluation)
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM evaluation)
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM evaluation)
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM evaluation)
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM evaluation)
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM evaluation)",employee_hire_evaluation
20,897,What are the names of students who have no friends?,hard,SELECT name FROM Highschooler EXCEPT SELECT T2.name FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id,7,"SELECT name FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend UNION SELECT student_id FROM likes)
SELECT name FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend) AND id NOT IN (SELECT student_id FROM likes)
SELECT name FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend) AND id NOT IN (SELECT student_id FROM likes)
SELECT name FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend UNION SELECT student_id FROM likes)
SELECT name FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend)
SELECT name FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend UNION SELECT student_id FROM likes) 
SELECT name FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend UNION SELECT student_id FROM likes)",network_1
21,173,What are the name of the countries where there is not a single car maker?,hard,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,7,"SELECT countryname FROM countries WHERE NOT EXISTS (SELECT * FROM car_makers WHERE country = countryname)
SELECT countryname FROM countries WHERE NOT EXISTS (SELECT * FROM car_makers WHERE country = countryname)
SELECT countryname FROM countries WHERE NOT EXISTS (SELECT * FROM car_makers WHERE country = countryname)
SELECT countryname FROM countries WHERE NOT EXISTS (SELECT 1 FROM car_makers WHERE country = countryname)
SELECT countryname FROM countries WHERE NOT EXISTS (SELECT 1 FROM car_makers WHERE country = countryname)
SELECT countryname FROM countries WHERE NOT EXISTS (SELECT * FROM car_makers WHERE country = countryname) 
SELECT countryname FROM countries WHERE NOT EXISTS (SELECT 1 FROM car_makers WHERE country = countryname)",car_1
22,810,What is the total population and average area of countries in the continent of North America whose area is bigger than 3000 ?,hard,"select sum(population) ,  avg(surfacearea) from country where continent  =  ""north america"" and surfacearea  >  3000",7,"SELECT SUM(population) AS total_population, AVG(surfacearea) AS average_area FROM country WHERE continent = 'North America' AND surfacearea > 3000
SELECT SUM(population) AS total_population, AVG(surfacearea) AS average_area FROM country WHERE continent = 'North America' AND surfacearea > 3000
SELECT SUM(population) AS total_population, AVG(surfacearea) AS average_area FROM country WHERE continent = 'North America' AND surfacearea > 3000
SELECT SUM(population), AVG(surfacearea) FROM country WHERE continent = 'North America' AND surfacearea > 3000
SELECT SUM(population) AS total_population, AVG(surfacearea) AS average_area FROM country WHERE continent = 'North America' AND surfacearea > 3000
SELECT SUM(population) AS total_population, AVG(surfacearea) AS average_area FROM country WHERE continent = 'North America' AND surfacearea > 3000
SELECT SUM(population) AS total_population, AVG(surfacearea) AS average_area FROM country WHERE continent = 'North America' AND surfacearea > 3000",world_1
23,341,Show all template type codes and the number of documents using each type.,medium,"SELECT T1.template_type_code ,  count(*) FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code",7,"SELECT template_type_code, COUNT(*) FROM templates GROUP BY template_type_code 
SELECT template_type_code, COUNT(*) FROM templates GROUP BY template_type_code 
SELECT template_type_code, COUNT(template_type_code) FROM templates GROUP BY template_type_code 
SELECT template_type_code, COUNT(template_id) FROM templates GROUP BY template_type_code 
SELECT template_type_code, COUNT(template_id) FROM templates GROUP BY template_type_code 
SELECT * FROM templates
SELECT template_type_code, COUNT(*) FROM templates GROUP BY template_type_code ",cre_Doc_Template_Mgt
24,798,Find the average life expectancy and total population for each continent where the average life expectancy is shorter than 72?,medium,"SELECT sum(Population) ,  avg(LifeExpectancy) ,  Continent FROM country GROUP BY Continent HAVING avg(LifeExpectancy)  <  72",7,"SELECT country.continent, AVG(country.lifeexpectancy), SUM(country.population) FROM country WHERE country.lifeexpectancy < 72 GROUP BY country.continent 
SELECT country.continent, AVG(country.lifeexpectancy), SUM(country.population) FROM country WHERE country.lifeexpectancy < 72 GROUP BY country.continent 
SELECT country.continent, AVG(country.lifeexpectancy), SUM(country.population) FROM country WHERE country.lifeexpectancy < 72 GROUP BY country.continent 
SELECT country.continent, AVG(country.lifeexpectancy), SUM(country.population) FROM country WHERE country.lifeexpectancy < 72 GROUP BY country.continent 
SELECT country.continent, AVG(country.lifeexpectancy), SUM(country.population) FROM country WHERE country.lifeexpectancy < 72 GROUP BY country.continent 
SELECT country.continent, AVG(country.lifeexpectancy), SUM(country.population) FROM country WHERE country.lifeexpectancy < 72 GROUP BY country.continent 
SELECT country.continent, AVG(country.lifeexpectancy), SUM(country.population) FROM country WHERE country.lifeexpectancy < 72 GROUP BY country.continent ",world_1
25,362,What are the details for the paragraph that includes the text 'Korea ' ?,medium,select other_details from paragraphs where paragraph_text like 'korea',7,"SELECT * FROM paragraphs WHERE paragraph_text LIKE '%Korea%'
SELECT * FROM paragraphs WHERE paragraph_text LIKE '%Korea%'
SELECT * FROM paragraphs WHERE paragraph_text LIKE '%Korea%'
SELECT * FROM paragraphs WHERE paragraph_text LIKE '%Korea%'
SELECT * FROM paragraphs WHERE paragraph_text LIKE '%Korea%'
SELECT * FROM paragraphs WHERE paragraph_text LIKE '%Korea%'
SELECT * FROM paragraphs WHERE paragraph_text LIKE '%Korea%'",cre_Doc_Template_Mgt
26,731,Give the mean GNP and total population of nations which are considered US territory.,medium,"SELECT avg(GNP) ,  sum(population) FROM country WHERE GovernmentForm  =  ""US Territory""",7,"SELECT mean GNP and total population of nations which are considered US territory.city FROM sqlite_sequence WHERE name = 'city' 
SELECT mean GNP and total population of nations which are considered US territory.city FROM sqlite_sequence WHERE name = 'city' 
SELECT mean GNP and total population of nations which are considered US territory.city FROM sqlite_sequence WHERE name = 'id' AND seq = 'name' AND population = 'countrycode' AND district = 'population' AND population = 'district' AND population = 'population' 
SELECT mean GNP and total population of nations which are considered US territory.city FROM sqlite_sequence WHERE name = 'city' 
SELECT mean GNP and total population of nations which are considered US territory.city FROM sqlite_sequence WHERE name = 'city' 
SELECT mean GNP and total population of nations which are considered US territory.city FROM sqlite_sequence WHERE name = 'id' AND seq = 'name' AND population = 'countrycode' AND district = 'population' AND population = 'district' AND population = 'population' 
SELECT mean GNP and total population of nations which are considered US territory.city FROM sqlite_sequence WHERE name = 'city' ",world_1
27,606,What are the languages used by the least number of TV Channels and how many channels use it?,hard,"SELECT LANGUAGE ,  count(*) FROM TV_Channel GROUP BY LANGUAGE ORDER BY count(*) ASC LIMIT 1;",7,"SELECT language, COUNT(language) FROM tv_channel GROUP BY language ORDER BY COUNT(language) ASC 
SELECT language, COUNT(language) FROM tv_channel GROUP BY language ORDER BY COUNT(language) ASC 
SELECT language, COUNT(language) FROM tv_channel GROUP BY language ORDER BY COUNT(language) ASC 
SELECT language, COUNT(language) FROM tv_channel GROUP BY language ORDER BY COUNT(language) ASC 
SELECT language, COUNT(language) FROM tv_channel GROUP BY language ORDER BY COUNT(language) ASC 
SELECT language, COUNT(language) FROM tv_channel GROUP BY language ORDER BY COUNT(language) ASC 
SELECT language, COUNT(language) FROM tv_channel GROUP BY language ORDER BY COUNT(language) ASC ",tvshow
