Unnamed: 0,Qid,Question,Db_Id,Difficulty,Query Gold,Repeated,Query Generated,Most Frequent Query,Execution Accuracy
69,660,What is the owner user id of the most valuable post?,codebase_community,simple,SELECT OwnerUserId FROM posts WHERE FavoriteCount = ( SELECT MAX(FavoriteCount) FROM posts ),7,"SELECT owneruserid FROM posts ORDER BY score DESC LIMIT 1
SELECT owneruserid FROM posts ORDER BY score DESC LIMIT 1
SELECT owneruserid FROM posts ORDER BY score DESC LIMIT 1
SELECT owneruserid FROM posts ORDER BY score DESC LIMIT 1
SELECT owneruserid FROM posts ORDER BY score DESC LIMIT 1
SELECT owneruserid FROM posts ORDER BY score DESC LIMIT 1
SELECT owneruserid FROM posts ORDER BY score DESC LIMIT 1",SELECT owneruserid FROM posts ORDER BY score DESC LIMIT 1,1.0
70,1223,Are there more male patients with creatinine not within the normal range than female? True or False?,thrombosis_prediction,challenging,SELECT CASE WHEN SUM(CASE WHEN T1.SEX = 'M' THEN 1 ELSE 0 END) > SUM(CASE WHEN T1.SEX = 'F' THEN 1 ELSE 0 END) THEN 'True' ELSE 'False' END FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.CRE >= 1.5,7,"SELECT COUNT(*) FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE patient.sex = 'male' AND (laboratory.cre < 0.7 OR laboratory.cre > 1.3) AND NOT EXISTS (     SELECT 1     FROM patient AS p2     JOIN laboratory AS l2 ON p2.id = l2.id     WHERE p2.sex = 'female' AND (l2.cre < 0.7 OR l2.cre > 1.3)     AND COUNT(*) > COUNT(*) )
SELECT COUNT(*) FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE patient.sex = 'male' AND (laboratory.cre < 0.7 OR laboratory.cre > 1.3) AND NOT EXISTS (     SELECT 1     FROM patient AS p     JOIN laboratory AS l ON p.id = l.id     WHERE p.sex = 'female' AND (l.cre < 0.7 OR l.cre > 1.3)     HAVING COUNT(*) > COUNT(*) )
SELECT COUNT(*) FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE patient.sex = 'male' AND (laboratory.cre < 0.7 OR laboratory.cre > 1.3) AND NOT EXISTS (     SELECT 1     FROM patient AS p2     JOIN laboratory AS l2 ON p2.id = l2.id     WHERE p2.sex = 'female' AND (l2.cre < 0.7 OR l2.cre > 1.3)     AND COUNT(*) > COUNT(*) )
SELECT COUNT(*) AS male_count FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE patient.sex = 'male' AND (laboratory.cre < 0.7 OR laboratory.cre > 1.3)  UNION ALL  SELECT COUNT(*) AS female_count FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE patient.sex = 'female' AND (laboratory.cre < 0.7 OR laboratory.cre > 1.3)
SELECT COUNT(*) AS male_count FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE patient.sex = 'male' AND (laboratory.cre < 0.6 OR laboratory.cre > 1.2)  UNION ALL  SELECT COUNT(*) AS female_count FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE patient.sex = 'female' AND (laboratory.cre < 0.6 OR laboratory.cre > 1.2)
SELECT COUNT(*) AS male_count FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE patient.sex = 'male' AND (laboratory.cre < 0.7 OR laboratory.cre > 1.3)  UNION ALL  SELECT COUNT(*) AS female_count FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE patient.sex = 'female' AND (laboratory.cre < 0.7 OR laboratory.cre > 1.3)
SELECT COUNT(p.id) AS male_count, COUNT(f.id) AS female_count FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'male' AND (l.cre < 0.7 OR l.cre > 1.3)  UNION ALL  SELECT COUNT(p.id) AS male_count, COUNT(f.id) AS female_count FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'female' AND (l.cre < 0.7 OR l.cre > 1.3)  ",SELECT COUNT(*) FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE patient.sex = 'male' AND (laboratory.cre < 0.7 OR laboratory.cre > 1.3) AND NOT EXISTS (     SELECT 1     FROM patient AS p2     JOIN laboratory AS l2 ON p2.id = l2.id     WHERE p2.sex = 'female' AND (l2.cre < 0.7 OR l2.cre > 1.3)     AND COUNT(*) > COUNT(*) ),0.0
71,1418,Mention the category of events which were held at MU 215.,student_club,simple,SELECT T2.category FROM event AS T1 INNER JOIN budget AS T2 ON T1.event_id = T2.link_to_event WHERE T1.location = 'MU 215',7,"SELECT e.category FROM event e WHERE e.location = 'MU 215'
SELECT e.category FROM event e WHERE e.location = 'MU 215'
SELECT e.category FROM event e WHERE e.location = 'MU 215'
SELECT e.category FROM event e WHERE e.location = 'MU 215'
SELECT e.type FROM event e WHERE e.location = 'MU 215'
SELECT e.type FROM event e WHERE e.location = 'MU 215'
SELECT e.category FROM event e WHERE e.location = 'MU 215'",SELECT e.category FROM event e WHERE e.location = 'MU 215',0.0
72,131,Which district has highest active loan?,financial,moderate,"SELECT T2.A3 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T3.status IN ('C', 'D') GROUP BY T2.A3 ORDER BY SUM(T3.amount) DESC LIMIT 1",7,"SELECT district.district_id, COUNT(loan.loan_id) AS active_loans FROM district JOIN client ON district.district_id = client.district_id JOIN disp ON client.client_id = disp.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON account.account_id = loan.account_id WHERE loan.status = 'active' GROUP BY district.district_id ORDER BY active_loans DESC LIMIT 1
SELECT district.district_id, COUNT(loan.loan_id) AS active_loans FROM district JOIN client ON district.district_id = client.district_id JOIN disp ON client.client_id = disp.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON account.account_id = loan.account_id WHERE loan.status = 'active' GROUP BY district.district_id ORDER BY active_loans DESC LIMIT 1
SELECT district.district_id, COUNT(loan.loan_id) AS active_loans FROM district JOIN client ON district.district_id = client.district_id JOIN disp ON client.client_id = disp.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON account.account_id = loan.account_id WHERE loan.status = 'active' GROUP BY district.district_id ORDER BY active_loans DESC LIMIT 1
SELECT district.district_id, COUNT(loan.loan_id) AS active_loans FROM district JOIN client ON district.district_id = client.district_id JOIN disp ON client.client_id = disp.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON account.account_id = loan.account_id WHERE loan.status = 'active' GROUP BY district.district_id ORDER BY active_loans DESC LIMIT 1
SELECT district.district_id, COUNT(loan.loan_id) as active_loans FROM district JOIN client ON district.district_id = client.district_id JOIN disp ON client.client_id = disp.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON account.account_id = loan.account_id WHERE loan.status = 'active' GROUP BY district.district_id ORDER BY active_loans DESC LIMIT 1
SELECT district.district_id, COUNT(loan.loan_id) AS active_loans FROM district JOIN client ON district.district_id = client.district_id JOIN disp ON client.client_id = disp.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON account.account_id = loan.account_id WHERE loan.status = 'active' GROUP BY district.district_id ORDER BY active_loans DESC LIMIT 1
SELECT d.district_id, COUNT(l.loan_id) as active_loans FROM district d JOIN client c ON d.district_id = c.district_id JOIN disp dp ON c.client_id = dp.client_id JOIN account a ON dp.account_id = a.account_id JOIN loan l ON a.account_id = l.account_id WHERE l.status = 'active' GROUP BY d.district_id ORDER BY active_loans DESC LIMIT 1","SELECT district.district_id, COUNT(loan.loan_id) AS active_loans FROM district JOIN client ON district.district_id = client.district_id JOIN disp ON client.client_id = disp.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON account.account_id = loan.account_id WHERE loan.status = 'active' GROUP BY district.district_id ORDER BY active_loans DESC LIMIT 1",0.0
73,896,Calculate the percentage whereby Hamilton was not at the 1st track of the the f1 circuit since 2010.,formula_1,challenging,SELECT CAST(COUNT(CASE WHEN T2.position <> 1 THEN T2.position END) AS REAL) * 100 / COUNT(T2.driverStandingsId) FROM races AS T1 INNER JOIN driverStandings AS T2 ON T2.raceId = T1.raceId INNER JOIN drivers AS T3 ON T3.driverId = T2.driverId WHERE T3.surname = 'Hamilton' AND T1.year >= 2010,7,"SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM races WHERE year >= 2010)) AS percentage FROM races WHERE circuitid != (SELECT circuitid FROM circuits ORDER BY circuitid LIMIT 1) AND raceid IN (SELECT raceid FROM results WHERE driverid = (SELECT driverid FROM drivers WHERE forename = 'Hamilton')) AND year >= 2010
SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM races WHERE circuitid != 1 AND year >= 2010)) AS percentage FROM results JOIN races ON results.raceid = races.raceid JOIN drivers ON results.driverid = drivers.driverid WHERE drivers.surname = 'Hamilton' AND races.circuitid != 1 AND races.year >= 2010
SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM races WHERE circuitid = 1 AND year >= 2010)) AS percentage FROM races WHERE raceid IN (SELECT raceid FROM results WHERE driverid = (SELECT driverid FROM drivers WHERE forename = 'Hamilton')) AND circuitid != 1 AND year >= 2010
SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM races WHERE circuitid != 1 AND year >= 2010)) AS percentage FROM results JOIN races ON results.raceid = races.raceid JOIN drivers ON results.driverid = drivers.driverid WHERE drivers.surname = 'Hamilton' AND races.circuitid != 1 AND races.year >= 2010
SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM races WHERE circuitid = 1 AND year >= 2010)) AS percentage FROM races WHERE raceid IN (SELECT raceid FROM results WHERE driverid = (SELECT driverid FROM drivers WHERE forename = 'Hamilton')) AND circuitid != 1 AND year >= 2010
SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM races WHERE year >= 2010)) AS percentage FROM races WHERE circuitid != (SELECT circuitid FROM circuits ORDER BY circuitid LIMIT 1) AND raceid IN (SELECT raceid FROM results WHERE driverid = (SELECT driverid FROM drivers WHERE forename = 'Hamilton')) AND year >= 2010
SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM races WHERE circuitid != 1 AND year >= 2010)) AS percentage FROM results JOIN races ON results.raceid = races.raceid JOIN drivers ON results.driverid = drivers.driverid WHERE drivers.surname = 'Hamilton' AND races.circuitid != 1 AND races.year >= 2010",SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM races WHERE circuitid != 1 AND year >= 2010)) AS percentage FROM results JOIN races ON results.raceid = races.raceid JOIN drivers ON results.driverid = drivers.driverid WHERE drivers.surname = 'Hamilton' AND races.circuitid != 1 AND races.year >= 2010,0.0
74,173,How often does account number 3 request an account statement to be released? What was the aim of debiting 3539 in total?,financial,challenging,"SELECT T1.frequency, T2.k_symbol FROM account AS T1 INNER JOIN (SELECT account_id, k_symbol, SUM(amount) AS total_amount FROM `order` GROUP BY account_id, k_symbol) AS T2 ON T1.account_id = T2.account_id WHERE T1.account_id = 3 AND T2.total_amount = 3539",7,"SELECT COUNT(*) AS statement_requests FROM order_ WHERE account_id = 3 AND k_symbol = 'account_statement'
SELECT COUNT(*) AS statement_requests FROM order_ WHERE account_id = 3 AND k_symbol = 'account_statement'
SELECT COUNT(*) AS statement_requests FROM order_ WHERE account_id = 3 AND k_symbol = 'account_statement'
NULL
SELECT COUNT(*) AS statement_requests FROM order_ WHERE account_id = 3 AND k_symbol = 'account_statement'
SELECT COUNT(*) AS statement_requests FROM order_ WHERE account_id = 3 AND k_symbol = 'account_statement'
SELECT COUNT(*) AS statement_requests FROM order_ WHERE account_id = 3 AND k_symbol = 'account_statement'",SELECT COUNT(*) AS statement_requests FROM order_ WHERE account_id = 3 AND k_symbol = 'account_statement',0.0
75,125,"For loans contracts which are still running where client are in debt, list the district of the and the state the percentage unemployment rate increment from year 1995 to 1996.",financial,challenging,SELECT CAST((T3.A13 - T3.A12) AS REAL) * 100 / T3.A12 FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T1.status = 'D',7,"SELECT district.district_id, district.a2 AS state,        ((SUM(CASE WHEN unemployment.year = 1996 THEN unemployment.rate END) -          SUM(CASE WHEN unemployment.year = 1995 THEN unemployment.rate END)) /         SUM(CASE WHEN unemployment.year = 1995 THEN unemployment.rate END)) * 100 AS percentage_increment FROM loan JOIN account ON loan.account_id = account.account_id JOIN client ON account.client_id = client.client_id JOIN district ON client.district_id = district.district_id JOIN unemployment ON district.district_id = unemployment.district_id WHERE loan.status = 'running' AND account.balance > 0 GROUP BY district.district_id, district.a2
SELECT d.district_id, d.a2 AS state, ((SUM(CASE WHEN strftime('%Y', l.date) = '1996' THEN 1 ELSE 0 END) - SUM(CASE WHEN strftime('%Y', l.date) = '1995' THEN 1 ELSE 0 END)) * 100.0 / SUM(CASE WHEN strftime('%Y', l.date) = '1995' THEN 1 ELSE 0 END)) AS unemployment_rate_increment FROM loan l JOIN account a ON l.account_id = a.account_id JOIN disp dsp ON a.account_id = dsp.account_id JOIN client c ON dsp.client_id = c.client_id JOIN district d ON c.district_id = d.district_id WHERE l.status = 'running' AND (SELECT SUM(amount) FROM trans WHERE trans.account_id = l.account_id AND trans.type = 'debit') > (SELECT SUM(amount) FROM trans WHERE trans.account_id = l.account_id AND trans.type = 'credit') GROUP BY d.district_id, d.a2
SELECT d.district_id, d.a2 AS state, ((SUM(CASE WHEN e.year = 1996 THEN e.unemployment_rate ELSE 0 END) - SUM(CASE WHEN e.year = 1995 THEN e.unemployment_rate ELSE 0 END)) / SUM(CASE WHEN e.year = 1995 THEN e.unemployment_rate ELSE 0 END)) * 100 AS percentage_increment FROM district d JOIN client c ON d.district_id = c.district_id JOIN disp dp ON c.client_id = dp.client_id JOIN account a ON dp.account_id = a.account_id JOIN loan l ON a.account_id = l.account_id JOIN unemployment_rate e ON d.a2 = e.state WHERE l.status = 'running' AND a.balance > 0 GROUP BY d.district_id, d.a2
SELECT d.district_id, d.a2 AS state, ((SUM(CASE WHEN strftime('%Y', l.date) = '1996' THEN l.amount ELSE 0 END) - SUM(CASE WHEN strftime('%Y', l.date) = '1995' THEN l.amount ELSE 0 END)) / SUM(CASE WHEN strftime('%Y', l.date) = '1995' THEN l.amount ELSE 0 END)) * 100 AS percentage_unemployment_rate_increment FROM loan l JOIN account a ON l.account_id = a.account_id JOIN disp dsp ON a.account_id = dsp.account_id JOIN client c ON dsp.client_id = c.client_id JOIN district d ON c.district_id = d.district_id WHERE l.status = 'running' AND l.amount > (SELECT SUM(payments) FROM loan WHERE account_id = l.account_id) GROUP BY d.district_id, d.a2
SELECT d.district_id, d.a2 AS state, ((SUM(CASE WHEN t.date BETWEEN '1996-01-01' AND '1996-12-31' THEN t.amount ELSE 0 END) - SUM(CASE WHEN t.date BETWEEN '1995-01-01' AND '1995-12-31' THEN t.amount ELSE 0 END)) / SUM(CASE WHEN t.date BETWEEN '1995-01-01' AND '1995-12-31' THEN t.amount ELSE 0 END)) * 100 AS unemployment_rate_increment FROM loan l JOIN account a ON l.account_id = a.account_id JOIN client c ON c.client_id = a.client_id JOIN district d ON d.district_id = c.district_id JOIN trans t ON t.account_id = a.account_id WHERE l.status = 'running' AND t.amount > t.balance GROUP BY d.district_id, d.a2
SELECT d.district_id, d.a2 AS state, ((SUM(CASE WHEN strftime('%Y', l.date) = '1996' THEN l.amount ELSE 0 END) - SUM(CASE WHEN strftime('%Y', l.date) = '1995' THEN l.amount ELSE 0 END)) / SUM(CASE WHEN strftime('%Y', l.date) = '1995' THEN l.amount ELSE 0 END)) * 100 AS percentage_unemployment_rate_increment FROM loan l JOIN account a ON l.account_id = a.account_id JOIN disp dsp ON a.account_id = dsp.account_id JOIN client c ON dsp.client_id = c.client_id JOIN district d ON c.district_id = d.district_id WHERE l.status = 'running' AND l.amount > (SELECT SUM(payments) FROM loan WHERE account_id = l.account_id) GROUP BY d.district_id, d.a2
SELECT d.district_id, d.a2 AS state, ((SUM(CASE WHEN strftime('%Y', l.date) = '1996' THEN l.amount ELSE 0 END) - SUM(CASE WHEN strftime('%Y', l.date) = '1995' THEN l.amount ELSE 0 END)) / SUM(CASE WHEN strftime('%Y', l.date) = '1995' THEN l.amount ELSE 0 END)) * 100 AS percentage_unemployment_rate_increment FROM loan l JOIN account a ON l.account_id = a.account_id JOIN disp dsp ON a.account_id = dsp.account_id JOIN client c ON dsp.client_id = c.client_id JOIN district d ON c.district_id = d.district_id WHERE l.status = 'running' AND l.amount > (SELECT SUM(payments) FROM loan WHERE account_id = l.account_id) GROUP BY d.district_id, d.a2","SELECT d.district_id, d.a2 AS state, ((SUM(CASE WHEN strftime('%Y', l.date) = '1996' THEN l.amount ELSE 0 END) - SUM(CASE WHEN strftime('%Y', l.date) = '1995' THEN l.amount ELSE 0 END)) / SUM(CASE WHEN strftime('%Y', l.date) = '1995' THEN l.amount ELSE 0 END)) * 100 AS percentage_unemployment_rate_increment FROM loan l JOIN account a ON l.account_id = a.account_id JOIN disp dsp ON a.account_id = dsp.account_id JOIN client c ON dsp.client_id = c.client_id JOIN district d ON c.district_id = d.district_id WHERE l.status = 'running' AND l.amount > (SELECT SUM(payments) FROM loan WHERE account_id = l.account_id) GROUP BY d.district_id, d.a2",0.0
76,201,What is the percentage of carbon in double-bond molecules?,toxicology,moderate,SELECT CAST(COUNT(DISTINCT CASE WHEN T1.element = 'c' THEN T1.atom_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T1.atom_id) FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.bond_type = '=',7,"SELECT (SUM(a.element = 'carbon') * 100.0 / COUNT(a.element)) AS carbon_percentage FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = 'double-bond'
SELECT (SUM(atom.element = 'carbon') * 100.0 / COUNT(*)) AS percentage_carbon FROM atom JOIN bond ON atom.bond_id = bond.bond_id JOIN connected ON atom.atom_id = connected.atom_id WHERE bond.bond_type = 'double-bond'
SELECT (SUM(a.element = 'carbon') * 100.0 / COUNT(a.element)) AS carbon_percentage FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = 'double-bond'
SELECT (SUM(atom.element = 'carbon') * 100.0 / COUNT(*)) AS percentage_carbon FROM atom JOIN bond ON atom.bond_id = bond.bond_id JOIN connected ON atom.atom_id = connected.atom_id WHERE bond.bond_type = 'double-bond'
SELECT (SUM(a.element = 'carbon') * 100.0 / COUNT(*)) AS carbon_percentage FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = 'double-bond'
SELECT (SUM(a.element = 'carbon') * 100.0 / COUNT(a.element)) AS carbon_percentage FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = 'double-bond'
SELECT (SUM(a.element = 'carbon') * 100.0 / COUNT(a.element)) AS carbon_percentage FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = 'double-bond'",SELECT (SUM(a.element = 'carbon') * 100.0 / COUNT(a.element)) AS carbon_percentage FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = 'double-bond',0.0
77,1150,What is the percentage of female patient were born after 1930?,thrombosis_prediction,moderate,"SELECT CAST(SUM(CASE WHEN STRFTIME('%Y', Birthday) > '1930' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) FROM Patient WHERE SEX = 'F'",7,"SELECT (COUNT(p.id) * 100.0 / (SELECT COUNT(*) FROM patient WHERE sex = 'female' AND birthday > '1930-01-01')) AS percentage FROM patient p WHERE p.sex = 'female' AND p.birthday > '1930-01-01'
SELECT (COUNT(p.id) * 100.0 / (SELECT COUNT(*) FROM patient WHERE sex = 'female' AND birthday > '1930-01-01')) AS percentage FROM patient p WHERE p.sex = 'female' AND p.birthday > '1930-01-01'
SELECT (COUNT(p.id) * 100.0 / (SELECT COUNT(*) FROM patient WHERE sex = 'female' AND birthday > '1930-01-01')) AS percentage FROM patient p WHERE p.sex = 'female' AND p.birthday > '1930-01-01'
SELECT (COUNT(p.id) * 100.0 / (SELECT COUNT(*) FROM patient WHERE sex = 'female' AND birthday > '1930-01-01')) AS percentage FROM patient p WHERE p.sex = 'female' AND p.birthday > '1930-01-01'
SELECT (COUNT(p.id) * 100.0 / (SELECT COUNT(*) FROM patient WHERE sex = 'female' AND birthday > '1930-01-01')) AS percentage FROM patient p WHERE p.sex = 'female' AND p.birthday > '1930-01-01'
SELECT (COUNT(p.id) * 100.0 / (SELECT COUNT(*) FROM patient WHERE sex = 'female' AND birthday > '1930-01-01')) AS percentage FROM patient p WHERE p.sex = 'female' AND p.birthday > '1930-01-01'
SELECT (COUNT(p.id) * 100.0 / (SELECT COUNT(*) FROM patient WHERE sex = 'female' AND strftime('%Y', birthday) > '1930')) AS percentage FROM patient p WHERE sex = 'female' AND strftime('%Y', birthday) > '1930'",SELECT (COUNT(p.id) * 100.0 / (SELECT COUNT(*) FROM patient WHERE sex = 'female' AND birthday > '1930-01-01')) AS percentage FROM patient p WHERE p.sex = 'female' AND p.birthday > '1930-01-01',0.0
78,284,Determine the bond type that is formed in the chemical compound containing element Carbon.,toxicology,moderate,SELECT DISTINCT T2.bond_type FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 'c',7,"SELECT bond.bond_type FROM bond JOIN connected ON bond.bond_id = connected.bond_id JOIN atom ON connected.atom_id = atom.atom_id WHERE atom.element = 'Carbon'
SELECT bond.bond_type FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element = 'Carbon'
SELECT bond.bond_type FROM bond JOIN connected ON bond.bond_id = connected.bond_id JOIN atom ON connected.atom_id = atom.atom_id WHERE atom.element = 'Carbon'
SELECT bond.bond_type FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element = 'Carbon'
SELECT bond.bond_type FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element = 'Carbon'
SELECT bond.bond_type FROM bond JOIN connected ON bond.bond_id = connected.bond_id JOIN atom ON connected.atom_id = atom.atom_id WHERE atom.element = 'Carbon'
SELECT bond.bond_type FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element = 'Carbon'",SELECT bond.bond_type FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element = 'Carbon',0.0
79,1236,"For all the female patient age 50 and above, who has abnormal red blood cell count. State if they were admitted to hospital.",thrombosis_prediction,challenging,"SELECT DISTINCT T1.ID, T1.Admission FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.SEX = 'F' AND (T2.RBC <= 3.5 OR T2.RBC >= 6.0) AND STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) >= 50",7,"SELECT p.id, p.admission FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'female' AND p.birthday <= date('now', '-50 years') AND l.rbc <> 'normal'
SELECT p.id, p.admission FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'female' AND p.birthday <= date('now', '-50 years') AND l.rbc <> 'normal'
SELECT p.id, p.admission FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'female' AND p.birthday <= date('now', '-50 years') AND l.rbc <> 'normal'
SELECT p.id, p.admission FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'female' AND p.birthday <= DATE('now', '-50 years') AND l.rbc <> 'normal'
SELECT p.id, p.admission FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'female' AND p.birthday <= date('now', '-50 years') AND l.rbc <> 'normal'
SELECT p.id, p.admission FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'female' AND p.birthday <= DATE('now', '-50 years') AND l.rbc <> 'normal'
SELECT p.id, p.admission FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'female' AND p.birthday <= date('now', '-50 years') AND l.rbc <> 'normal'","SELECT p.id, p.admission FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'female' AND p.birthday <= date('now', '-50 years') AND l.rbc <> 'normal'",0.0
80,68,Which county reported the most number of school closure in the 1980s with school wonership code belonging to Youth Authority Facilities (CEA)?,california_schools,moderate,"SELECT County FROM schools WHERE strftime('%Y', ClosedDate) BETWEEN '1980' AND '1989' AND StatusType = 'Closed' AND SOC = 11 GROUP BY County ORDER BY COUNT(School) DESC LIMIT 1",7,"SELECT county_name, COUNT(*) as closure_count FROM schools WHERE cdscode IN (SELECT cdscode FROM school_closure WHERE academic_year BETWEEN '1980-01-01' AND '1990-12-31' AND cdscode IN (SELECT cdscode FROM ownership WHERE ownership_code = 'CEA')) GROUP BY county_name ORDER BY closure_count DESC LIMIT 1
SELECT county_name, COUNT(*) as closure_count FROM schools WHERE cdscode IN (SELECT cdscode FROM school_closure WHERE academic_year BETWEEN '1980-01-01' AND '1990-12-31' AND cdscode IN (SELECT cdscode FROM ownership WHERE ownership_code = 'CEA')) GROUP BY county_name ORDER BY closure_count DESC LIMIT 1
SELECT county_name, COUNT(*) as closure_count FROM schools WHERE cdscode IN (SELECT cdscode FROM school_closure WHERE academic_year BETWEEN '1980-01-01' AND '1990-12-31' AND cdscode IN (SELECT cdscode FROM ownership WHERE ownership_code = 'CEA')) GROUP BY county_name ORDER BY closure_count DESC LIMIT 1
SELECT county_name, COUNT(*) as closure_count FROM schools WHERE cdscode IN (SELECT cdscode FROM school_closure WHERE academic_year BETWEEN '1980-01-01' AND '1990-12-31' AND cdscode IN (SELECT cdscode FROM ownership WHERE ownership_code = 'CEA')) GROUP BY county_name ORDER BY closure_count DESC LIMIT 1
SELECT county_name, COUNT(*) as closure_count FROM schools WHERE cdscode IN (SELECT cdscode FROM school_closure WHERE academic_year BETWEEN '1980-01-01' AND '1990-12-31' AND cdscode IN (SELECT cdscode FROM ownership WHERE ownership_code = 'CEA')) GROUP BY county_name ORDER BY closure_count DESC LIMIT 1
SELECT county_name, COUNT(*) as closure_count FROM schools WHERE cdscode IN (SELECT cdscode FROM school_closure WHERE academic_year BETWEEN '1980-01-01' AND '1990-12-31' AND cdscode IN (SELECT cdscode FROM ownership WHERE ownership_code = 'CEA')) GROUP BY county_name ORDER BY closure_count DESC LIMIT 1
SELECT county_name, COUNT(*) as closure_count FROM schools WHERE cdscode IN (SELECT cdscode FROM school_closure WHERE academic_year BETWEEN '1980-01-01' AND '1990-12-31' AND cdscode IN (SELECT cdscode FROM ownership WHERE ownership_code = 'CEA')) GROUP BY county_name ORDER BY closure_count DESC LIMIT 1","SELECT county_name, COUNT(*) as closure_count FROM schools WHERE cdscode IN (SELECT cdscode FROM school_closure WHERE academic_year BETWEEN '1980-01-01' AND '1990-12-31' AND cdscode IN (SELECT cdscode FROM ownership WHERE ownership_code = 'CEA')) GROUP BY county_name ORDER BY closure_count DESC LIMIT 1",0.0
