,Qid,Question,Db_Id,hardness,Query Gold,Repeated,Query Generated,Most Frequent Query
10,459,Find the first name and country code of the player who did the most number of tours.,wta_1,hard,"SELECT T1.country_code ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id ORDER BY T2.tours DESC LIMIT 1",7,"SELECT first_name, country_code FROM players WHERE player_id = (     SELECT player_id     FROM matches     GROUP BY player_id     ORDER BY COUNT(*) DESC     LIMIT 1 )
SELECT first_name, country_code FROM players WHERE player_id = (     SELECT player_id     FROM (         SELECT player_id, COUNT(*) AS num_tours         FROM matches         GROUP BY player_id         ORDER BY num_tours DESC         LIMIT 1     ) AS subquery )
SELECT first_name, country_code FROM players WHERE player_id = (     SELECT player_id     FROM matches     GROUP BY player_id     ORDER BY COUNT(*) DESC     LIMIT 1 )
SELECT first_name, country_code FROM players WHERE player_id = (     SELECT player_id     FROM matches     GROUP BY player_id     ORDER BY COUNT(*) DESC     LIMIT 1 )
SELECT first_name, country_code FROM players WHERE player_id = (     SELECT player_id     FROM matches     GROUP BY player_id     ORDER BY COUNT(*) DESC     LIMIT 1 )
SELECT first_name, country_code FROM players WHERE player_id = (     SELECT player_id     FROM matches     GROUP BY player_id     ORDER BY COUNT(*) DESC     LIMIT 1 )
SELECT first_name, country_code FROM players WHERE player_id = (     SELECT player_id     FROM matches     GROUP BY player_id     ORDER BY COUNT(*) DESC     LIMIT 1 )","SELECT first_name, country_code FROM players WHERE player_id = (     SELECT player_id     FROM matches     GROUP BY player_id     ORDER BY COUNT(*) DESC     LIMIT 1 )"
11,770,What is the total number of unique official languages spoken in the countries that are founded before 1930?,world_1,medium,"SELECT count(DISTINCT T2.Language) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE  IndepYear  <  1930 AND T2.IsOfficial  =  ""T""",7,"SELECT COUNT(DISTINCT countrylanguage.language) FROM countrylanguage JOIN country ON countrylanguage.countrycode = country.code WHERE country.indepyear < 1930
SELECT COUNT(DISTINCT countrylanguage.language) FROM countrylanguage JOIN country ON countrylanguage.countrycode = country.code WHERE country.indepyear < 1930
SELECT COUNT(DISTINCT countrylanguage.language) FROM countrylanguage JOIN country ON countrylanguage.countrycode = country.code WHERE country.indepyear < 1930
SELECT COUNT(DISTINCT countrylanguage.language) FROM countrylanguage JOIN country ON countrylanguage.countrycode = country.code WHERE country.indepyear < 1930
SELECT COUNT(DISTINCT countrylanguage.language) FROM countrylanguage JOIN country ON countrylanguage.countrycode = country.code WHERE country.indepyear < 1930
SELECT COUNT(DISTINCT countrylanguage.language) FROM countrylanguage JOIN country ON countrylanguage.countrycode = country.code WHERE country.indepyear < 1930
SELECT COUNT(DISTINCT countrylanguage.language) FROM countrylanguage JOIN country ON countrylanguage.countrycode = country.code WHERE country.indepyear < 1930",SELECT COUNT(DISTINCT countrylanguage.language) FROM countrylanguage JOIN country ON countrylanguage.countrycode = country.code WHERE country.indepyear < 1930
12,7,What are the names and release years for all the songs of the youngest singer?,concert_singer,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",7,"SELECT name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)
SELECT s.name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer)
SELECT name, song_release_year FROM singer WHERE age = (SELECT MAX(age) FROM singer)
SELECT name, song_release_year FROM singer WHERE age = (SELECT MAX(age) FROM singer)
SELECT name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)
SELECT singer.name, singer.song_release_year FROM singer WHERE singer.age = (SELECT MIN(age) FROM singer)
SELECT singer.name, singer.song_release_year FROM singer WHERE singer.age = (SELECT MIN(age) FROM singer)","SELECT name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)"
13,558,"What is the first, middle, and last name of the earliest school graduate?",student_transcripts_tracking,medium,"SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_left ASC LIMIT 1",7,"SELECT first_name, middle_name, last_name FROM students WHERE date_first_registered = (SELECT MIN(date_first_registered) FROM students)
SELECT first_name, middle_name, last_name FROM students ORDER BY date_first_registered LIMIT 1
SELECT first_name, middle_name, last_name FROM students WHERE date_first_registered = (SELECT MIN(date_first_registered) FROM students)
SELECT first_name, middle_name, last_name FROM students WHERE date_first_registered = (SELECT MIN(date_first_registered) FROM students)
SELECT first_name, middle_name, last_name FROM students WHERE date_first_registered = (SELECT MIN(date_first_registered) FROM students)
SELECT first_name, middle_name, last_name FROM students WHERE date_first_registered = (SELECT MIN(date_first_registered) FROM students)
SELECT first_name, middle_name, last_name FROM students WHERE date_first_registered = (SELECT MIN(date_first_registered) FROM students)","SELECT first_name, middle_name, last_name FROM students WHERE date_first_registered = (SELECT MIN(date_first_registered) FROM students)"
14,586,What are the titles of the cartoons sorted alphabetically?,tvshow,easy,SELECT Title FROM Cartoon ORDER BY title,7,"SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC",SELECT title FROM cartoon ORDER BY title ASC
15,894,Show ids of all students who do not have any friends.,network_1,hard,SELECT id FROM Highschooler EXCEPT SELECT student_id FROM Friend,7,"SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend)
SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend)
SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend)
SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend)
SELECT DISTINCT id FROM highschooler WHERE id NOT IN (     SELECT student_id     FROM friend     UNION     SELECT liked_id     FROM likes )
SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend)
SELECT id FROM highschooler WHERE id NOT IN (     SELECT student_id     FROM friend     UNION     SELECT liked_id     FROM likes )",SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend)
16,177,What are the id and names of the countries which have more than 3 car makers or produce the 'fiat' model?,car_1,extra,"SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.countryId HAVING count(*)  >  3 UNION SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country JOIN MODEL_LIST AS T3 ON T2.Id  =  T3.Maker WHERE T3.Model  =  'fiat';",7,"SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country JOIN model_list ON car_makers.id = model_list.maker WHERE model_list.model = 'fiat' UNION SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country GROUP BY countries.countryid, countries.countryname HAVING COUNT(car_makers.id) > 3
SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country JOIN model_list ON car_makers.id = model_list.maker JOIN car_names ON model_list.model = car_names.model WHERE countries.countryid IN (     SELECT country     FROM car_makers     GROUP BY country     HAVING COUNT(*) > 3 ) OR model_list.model = 'fiat'
SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country JOIN model_list ON car_makers.id = model_list.maker WHERE model_list.model = 'fiat' UNION SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country GROUP BY countries.countryid, countries.countryname HAVING COUNT(car_makers.id) > 3
SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country JOIN model_list ON car_makers.id = model_list.maker WHERE model_list.model = 'fiat' UNION SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country GROUP BY countries.countryid, countries.countryname HAVING COUNT(car_makers.id) > 3
SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country JOIN model_list ON car_makers.id = model_list.maker WHERE model_list.model = 'fiat' UNION SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country GROUP BY countries.countryid, countries.countryname HAVING COUNT(car_makers.id) > 3
SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country JOIN model_list ON car_makers.id = model_list.maker WHERE model_list.model = 'fiat' UNION SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country GROUP BY countries.countryid, countries.countryname HAVING COUNT(car_makers.id) > 3
SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country JOIN model_list ON car_makers.id = model_list.maker WHERE model_list.model = 'fiat' UNION SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country GROUP BY countries.countryid, countries.countryname HAVING COUNT(car_makers.id) > 3","SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country JOIN model_list ON car_makers.id = model_list.maker WHERE model_list.model = 'fiat' UNION SELECT DISTINCT countries.countryid, countries.countryname FROM countries JOIN car_makers ON countries.countryid = car_makers.country GROUP BY countries.countryid, countries.countryname HAVING COUNT(car_makers.id) > 3"
17,918,Which states have both owners and professionals living there?,dog_kennels,hard,SELECT state FROM Owners INTERSECT SELECT state FROM Professionals,7,"SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM owners     WHERE owner_id IN (         SELECT owner_id         FROM dogs         WHERE dog_id IN (             SELECT dog_id             FROM treatments             WHERE professional_id IN (                 SELECT professional_id                 FROM professionals             )         )     ) )
SELECT DISTINCT o.state FROM owners o JOIN dogs d ON o.owner_id = d.owner_id JOIN professionals p ON p.state = o.state
SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM owners     WHERE owner_id IN (         SELECT owner_id         FROM dogs         WHERE dog_id IN (             SELECT dog_id             FROM treatments             WHERE professional_id IN (                 SELECT professional_id                 FROM professionals             )         )     ) )
SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM owners     WHERE owner_id IN (         SELECT owner_id         FROM dogs         WHERE dog_id IN (             SELECT dog_id             FROM treatments             WHERE professional_id IN (                 SELECT professional_id                 FROM professionals             )         )     ) )
SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM owners     WHERE owner_id IN (         SELECT owner_id         FROM dogs         WHERE dog_id IN (             SELECT dog_id             FROM treatments             WHERE professional_id IN (                 SELECT professional_id                 FROM professionals             )         )     ) )
SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM owners     WHERE owner_id IN (         SELECT owner_id         FROM dogs         WHERE dog_id IN (             SELECT dog_id             FROM treatments             WHERE professional_id IN (                 SELECT professional_id                 FROM professionals             )         )     ) )
SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM owners     WHERE owner_id IN (         SELECT owner_id         FROM dogs         WHERE dog_id IN (             SELECT dog_id             FROM treatments             WHERE professional_id IN (                 SELECT professional_id                 FROM professionals             )         )     ) )",SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM owners     WHERE owner_id IN (         SELECT owner_id         FROM dogs         WHERE dog_id IN (             SELECT dog_id             FROM treatments             WHERE professional_id IN (                 SELECT professional_id                 FROM professionals             )         )     ) )
18,103,Which distinct car models are the produced after 1980?,car_1,hard,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;,7,"SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.model = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.model = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.model = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.model = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.model = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.model = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.model = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980",SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.model = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980
19,307,How many documents are using the template with type code 'PPT'?,cre_Doc_Template_Mgt,medium,SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',7,"SELECT COUNT(*) FROM documents WHERE template_id IN (     SELECT template_id     FROM templates     WHERE template_type_code = 'PPT' )
SELECT COUNT(*) FROM documents WHERE template_id IN (SELECT template_id FROM templates WHERE template_type_code = 'PPT')
SELECT COUNT(*) FROM documents WHERE template_id IN (     SELECT template_id     FROM templates     WHERE template_type_code = 'PPT' )
SELECT COUNT(*) FROM documents JOIN templates ON documents.template_id = templates.template_id WHERE templates.template_type_code = 'PPT'
SELECT COUNT(*) FROM documents WHERE template_id IN (     SELECT template_id     FROM templates     WHERE template_type_code = 'PPT' )
SELECT COUNT(*) FROM documents WHERE template_id IN (     SELECT template_id     FROM templates     WHERE template_type_code = 'PPT' )
SELECT COUNT(*) FROM documents WHERE template_id IN (     SELECT template_id     FROM templates     WHERE template_type_code = 'PPT' )",SELECT COUNT(*) FROM documents WHERE template_id IN (     SELECT template_id     FROM templates     WHERE template_type_code = 'PPT' )
20,99,Find the name of the makers that produced some cars in the year of 1970?,car_1,extra,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,7,"SELECT maker FROM car_makers WHERE id IN (SELECT makeid FROM cars_data WHERE year = 1970)
SELECT maker FROM car_makers WHERE id IN (SELECT makeid FROM cars_data WHERE year = 1970)
SELECT maker FROM car_makers WHERE id IN (SELECT makeid FROM cars_data WHERE year = 1970)
SELECT maker FROM car_makers WHERE id IN (SELECT makeid FROM cars_data WHERE year = 1970)
SELECT maker FROM car_makers WHERE id IN (SELECT makeid FROM cars_data WHERE year = 1970)
SELECT maker FROM car_makers WHERE id IN (SELECT makeid FROM cars_data WHERE year = 1970)
SELECT maker FROM car_makers WHERE id IN (SELECT makeid FROM cars_data WHERE year = 1970)",SELECT maker FROM car_makers WHERE id IN (SELECT makeid FROM cars_data WHERE year = 1970)
