,Qid,Question,db_id,Hardness,Query Gold,Repeated,Query Generated,
10,572,What is the maximum number of times that a course shows up in different transcripts and what is that course's enrollment id?,student_transcripts_tracking,hard,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1",7,"SELECT course_id, COUNT(transcript_id) AS times_shown, enrollment_id FROM (     SELECT sc.course_id, tc.transcript_id, sc.student_enrolment_id AS enrollment_id     FROM student_enrolment_courses sc     JOIN transcript_contents tc ON sc.student_course
SELECT course_id, COUNT(transcript_id) AS times_shown, enrollment_id FROM (     SELECT sc.course_id, tc.transcript_id, se.student_enrolment_id AS enrollment_id     FROM student_enrolment_courses sc     JOIN student_enrolment se ON sc.student
SELECT course_id, COUNT(transcript_id) AS times_shown, enrollment_id FROM (     SELECT sc.course_id, tc.transcript_id, se.student_enrolment_id AS enrollment_id     FROM student_enrolment_courses sc     JOIN student_enrolment se ON sc.student
SELECT course_id, COUNT(transcript_id) AS times_shown, enrollment_id FROM (     SELECT sc.course_id, tc.transcript_id, se.student_enrolment_id AS enrollment_id     FROM student_enrolment_courses sc     JOIN student_enrolment se ON sc.student
SELECT course_id, COUNT(transcript_id) AS times_shown, enrollment_id FROM (     SELECT sc.course_id, tc.transcript_id, se.student_enrolment_id AS enrollment_id     FROM student_enrolment_courses sc     JOIN student_enrolment se ON sc.student
SELECT course_id, COUNT(transcript_id) AS times_shown, enrollment_id FROM (     SELECT sc.course_id, tc.transcript_id, se.student_enrolment_id AS enrollment_id     FROM student_enrolment_courses sc     JOIN student_enrolment se ON sc.student
SELECT course_id, COUNT(transcript_id) AS times_shown, enrollment_id FROM (     SELECT sc.course_id, tc.transcript_id, se.student_enrolment_id AS enrollment_id     FROM student_enrolment_courses sc     JOIN student_enrolment se ON sc.student",
11,54,How many dog pets are raised by female students?,pets_1,hard,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',7,"SELECT COUNT(*) FROM has_pet hp JOIN pets p ON hp.petid = p.petid WHERE p.pettype = 'dog' AND hp.stuid IN (SELECT stuid FROM student WHERE sex = 'F')
SELECT COUNT(*) FROM has_pet hp JOIN pets p ON hp.petid = p.petid WHERE p.pettype = 'dog' AND hp.stuid IN (SELECT stuid FROM student WHERE sex = 'F')
SELECT COUNT(*) FROM has_pet hp JOIN pets p ON hp.petid = p.petid WHERE p.pettype = 'dog' AND hp.stuid IN (SELECT stuid FROM student WHERE sex = 'F')
SELECT COUNT(*) FROM has_pet hp JOIN pets p ON hp.petid = p.petid WHERE p.pettype = 'dog' AND hp.stuid IN (SELECT stuid FROM student WHERE sex = 'F')
SELECT COUNT(*) FROM has_pet hp JOIN pets p ON hp.petid = p.petid WHERE p.pettype = 'dog' AND hp.stuid IN (SELECT stuid FROM student WHERE sex = 'F')
SELECT COUNT(*) FROM has_pet hp JOIN pets p ON hp.petid = p.petid WHERE p.pettype = 'dog' AND hp.stuid IN (SELECT stuid FROM student WHERE sex = 'F')
SELECT COUNT(*) FROM has_pet hp JOIN pets p ON hp.petid = p.petid WHERE p.pettype = 'dog' AND hp.stuid IN (SELECT stuid FROM student WHERE sex = 'F')",
12,69,Find the id and weight of all pets whose age is older than 1.,pets_1,medium,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1",7,"SELECT p.petid, p.weight FROM pets p JOIN has_pet hp ON p.petid = hp.petid WHERE p.pet_age > 1
SELECT p.petid, p.weight FROM pets p JOIN has_pet hp ON p.petid = hp.petid WHERE p.pet_age > 1
SELECT p.petid, p.weight FROM pets p JOIN has_pet hp ON p.petid = hp.petid WHERE p.pet_age > 1
SELECT p.petid, p.weight FROM pets p JOIN has_pet hp ON p.petid = hp.petid WHERE p.pet_age > 1
SELECT p.petid, p.weight FROM pets p JOIN has_pet hp ON p.petid = hp.petid WHERE p.pet_age > 1
SELECT p.petid, p.weight FROM pets p JOIN has_pet hp ON p.petid = hp.petid WHERE p.pet_age > 1
SELECT p.petid, p.weight FROM pets p JOIN has_pet hp ON p.petid = hp.petid WHERE p.pet_age > 1",
13,252,Give the flight numbers of flights leaving from Aberdeen.,flight_2,medium,"SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.SourceAirport   =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",7,"SELECT flightno FROM flights WHERE sourceairport = 'ABZ'
SELECT flightno FROM flights WHERE sourceairport = 'ABZ'
SELECT flightno FROM flights WHERE sourceairport = 'ABZ'
SELECT flightno FROM flights WHERE sourceairport = 'ABZ'
SELECT flightno FROM flights WHERE sourceairport = 'ABZ'
SELECT flightno FROM flights WHERE sourceairport = 'ABZ'
SELECT flightno FROM flights WHERE sourceairport = 'ABZ'",
14,720,What is the name of country that has the shortest life expectancy in Asia?,world_1,hard,"SELECT Name FROM country WHERE Continent  =  ""Asia"" ORDER BY LifeExpectancy LIMIT 1",7,"SELECT name FROM country WHERE continent = 'Asia' ORDER BY lifeexpectancy ASC LIMIT 1
SELECT name FROM country WHERE continent = 'Asia' ORDER BY lifeexpectancy ASC LIMIT 1
SELECT name FROM country WHERE continent = 'Asia' ORDER BY lifeexpectancy ASC LIMIT 1
SELECT name FROM country WHERE continent = 'Asia' ORDER BY lifeexpectancy ASC LIMIT 1
SELECT name FROM country WHERE continent = 'Asia' ORDER BY lifeexpectancy ASC LIMIT 1
SELECT name FROM country WHERE continent = 'Asia' ORDER BY lifeexpectancy ASC LIMIT 1
SELECT name FROM country WHERE continent = 'Asia' ORDER BY lifeexpectancy ASC LIMIT 1",
15,280,Which employee received the biggest bonus? Give me the employee name.,employee_hire_evaluation,hard,SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID ORDER BY t2.bonus DESC LIMIT 1,7,"SELECT e.name FROM evaluation e JOIN employee e2 ON e.employee_id = e2.employee_id ORDER BY e.bonus DESC LIMIT 1
SELECT e.name FROM evaluation e JOIN employee e2 ON e.employee_id = e2.employee_id ORDER BY e.bonus DESC LIMIT 1
SELECT e.name FROM evaluation e JOIN employee e2 ON e.employee_id = e2.employee_id ORDER BY e.bonus DESC LIMIT 1
SELECT e.name FROM evaluation e JOIN employee e2 ON e.employee_id = e2.employee_id ORDER BY e.bonus DESC LIMIT 1
SELECT e.name FROM evaluation e JOIN hiring h ON e.employee_id = h.employee_id JOIN employee emp ON h.employee_id = emp.employee_id WHERE e.bonus = (SELECT MAX(bonus) FROM evaluation)
SELECT e.name FROM evaluation e JOIN hiring h ON e.employee_id = h.employee_id JOIN employee emp ON h.employee_id = emp.employee_id WHERE e.bonus = (SELECT MAX(bonus) FROM evaluation)
SELECT e.name FROM evaluation e JOIN hiring h ON e.employee_id = h.employee_id JOIN employee emp ON h.employee_id = emp.employee_id WHERE e.bonus = (SELECT MAX(bonus) FROM evaluation)",
16,467,find the names of loser and winner who played in the match with greatest number of minutes.,wta_1,medium,"SELECT winner_name ,  loser_name FROM matches ORDER BY minutes DESC LIMIT 1",7,"SELECT winner_name, loser_name FROM matches WHERE minutes = (SELECT MAX(minutes) FROM matches)
SELECT winner_name, loser_name FROM matches WHERE minutes = (SELECT MAX(minutes) FROM matches)
SELECT winner_name, loser_name FROM matches WHERE minutes = (SELECT MAX(minutes) FROM matches)
SELECT winner_name, loser_name FROM matches WHERE minutes = (SELECT MAX(minutes) FROM matches)
SELECT winner_name, loser_name FROM matches WHERE minutes = (SELECT MAX(minutes) FROM matches)
SELECT winner_name, loser_name FROM matches WHERE minutes = (SELECT MAX(minutes) FROM matches)
SELECT winner_name, loser_name FROM matches ORDER BY minutes DESC LIMIT 1",
17,872,Show the ID of the high schooler named Kyle.,network_1,easy,"SELECT ID FROM Highschooler WHERE name  =  ""Kyle""",7,"SELECT id FROM highschooler WHERE name = 'Kyle'
SELECT id FROM highschooler WHERE name = 'Kyle'
SELECT id FROM highschooler WHERE name = 'Kyle'
SELECT id FROM highschooler WHERE name = 'Kyle'
SELECT id FROM highschooler WHERE name = 'Kyle'
SELECT id FROM highschooler WHERE name = 'Kyle'
SELECT id FROM highschooler WHERE name = 'Kyle'",
18,1029,What are the citizenships that are shared by singers with a birth year before 1945 and after 1955?,singer,hard,SELECT Citizenship FROM singer WHERE Birth_Year  <  1945 INTERSECT SELECT Citizenship FROM singer WHERE Birth_Year  >  1955,7,"SELECT DISTINCT s.citizenship FROM singer s JOIN song so ON s.singer_id = so.singer_id WHERE s.birth_year < 1945 OR s.birth_year > 1955
SELECT DISTINCT s.citizenship FROM singer s JOIN song so ON s.singer_id = so.singer_id WHERE s.birth_year < 1945 OR s.birth_year > 1955
SELECT DISTINCT s.citizenship FROM singer s JOIN song so ON s.singer_id = so.singer_id WHERE s.birth_year < 1945 OR s.birth_year > 1955
SELECT DISTINCT s.citizenship FROM singer s JOIN song so ON s.singer_id = so.singer_id WHERE s.birth_year < 1945 OR s.birth_year > 1955
SELECT DISTINCT s.citizenship FROM singer s JOIN song so ON s.singer_id = so.singer_id WHERE s.birth_year < 1945 OR s.birth_year > 1955
SELECT DISTINCT s.citizenship FROM singer s JOIN song so ON s.singer_id = so.singer_id WHERE s.birth_year < 1945 OR s.birth_year > 1955
SELECT DISTINCT s.citizenship FROM singer s JOIN song so ON s.singer_id = so.singer_id WHERE s.birth_year < 1945 OR s.birth_year > 1955",
19,924,Which dogs have not cost their owner more than 1000 for treatment ? List the dog names .,dog_kennels,hard,select name from dogs where dog_id not in ( select dog_id from treatments group by dog_id having sum(cost_of_treatment)  >  1000 ),7,"SELECT d.name, d.breed_code, d.size_code, d.age, d.gender, d.weight FROM dogs d JOIN treatments t ON d.dog_id = t.dog_id WHERE t.cost_of_treatment <= 1000
SELECT d.name, d.breed_code, d.size_code, d.age, d.gender, d.weight FROM dogs d JOIN treatments t ON d.dog_id = t.dog_id WHERE t.cost_of_treatment <= 1000
SELECT d.name, d.breed_code, d.size_code, d.age, d.gender, d.weight FROM dogs d JOIN treatments t ON d.dog_id = t.dog_id WHERE t.cost_of_treatment <= 1000
SELECT d.name, d.breed_code, d.size_code, d.age, d.gender, d.weight FROM dogs d JOIN treatments t ON d.dog_id = t.dog_id WHERE t.cost_of_treatment <= 1000
SELECT d.name, d.breed_code, d.size_code, d.age, d.gender, d.weight FROM dogs d JOIN treatments t ON d.dog_id = t.dog_id WHERE t.cost_of_treatment <= 1000
SELECT d.name, d.breed_code, d.size_code, d.age, d.gender, d.weight FROM dogs d JOIN treatments t ON d.dog_id = t.dog_id WHERE t.cost_of_treatment <= 1000
SELECT d.name, d.breed_code, d.size_code, d.age, d.gender, d.weight FROM dogs d JOIN treatments t ON d.dog_id = t.dog_id WHERE t.cost_of_treatment <= 1000",
20,461,Find the year that has the most number of matches.,wta_1,hard,SELECT YEAR FROM matches GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,7,"SELECT year, COUNT(*) AS match_count FROM matches GROUP BY year ORDER BY match_count DESC LIMIT 1
SELECT year, COUNT(*) as match_count FROM matches GROUP BY year ORDER BY match_count DESC LIMIT 1
SELECT year, COUNT(*) AS match_count FROM matches GROUP BY year ORDER BY match_count DESC LIMIT 1
SELECT year, COUNT(*) AS match_count FROM matches GROUP BY year ORDER BY match_count DESC LIMIT 1
SELECT year, COUNT(*) AS match_count FROM matches GROUP BY year ORDER BY match_count DESC LIMIT 1
SELECT year, COUNT(*) AS match_count FROM matches GROUP BY year ORDER BY match_count DESC LIMIT 1
SELECT year, COUNT(*) AS match_count FROM matches GROUP BY year ORDER BY match_count DESC LIMIT 1",
21,88,What is the number of continents?,car_1,easy,SELECT count(*) FROM CONTINENTS,,7,"SELECT COUNT(*) FROM (SELECT DISTINCT continent FROM continents)
SELECT COUNT(*) FROM (SELECT DISTINCT continent FROM continents)
SELECT COUNT(*) FROM (SELECT DISTINCT continent FROM continents)
SELECT COUNT(*) FROM (SELECT DISTINCT continent FROM continents)
SELECT COUNT(*) FROM (SELECT DISTINCT continent FROM continents)
SELECT COUNT(*) FROM (SELECT DISTINCT continent FROM continents)
SELECT COUNT(*) FROM (SELECT DISTINCT continent FROM continents)"
22,759,What languages are only used by a single country with a republic government?,world_1,hard,"SELECT T2.Language FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T1.GovernmentForm  =  ""Republic"" GROUP BY T2.Language HAVING COUNT(*)  =  1",7,"SELECT cl.language  FROM countrylanguage cl  JOIN country c ON cl.countrycode = c.code  WHERE c.governmentform = 'Republic'  GROUP BY cl.language  HAVING COUNT(DISTINCT c.code) = 1
SELECT language FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE governmentform = 'Republic' AND code IN (SELECT countrycode FROM countrylanguage GROUP BY countrycode HAVING COUNT(DISTINCT language) = 1))
SELECT language FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE governmentform = 'Republic' AND code IN (SELECT countrycode FROM countrylanguage GROUP BY countrycode HAVING COUNT(DISTINCT language) = 1))
SELECT language FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE governmentform = 'Republic' AND code IN (SELECT countrycode FROM countrylanguage GROUP BY countrycode HAVING COUNT(DISTINCT language) = 1))
SELECT language FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE governmentform = 'Republic' AND code IN (SELECT countrycode FROM countrylanguage GROUP BY countrycode HAVING COUNT(DISTINCT language) = 1))
SELECT cl.language  FROM countrylanguage cl  JOIN country c ON cl.countrycode = c.code  WHERE c.governmentform = 'Republic'  GROUP BY cl.language  HAVING COUNT(DISTINCT c.code) = 1
SELECT language FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE governmentform = 'Republic' AND code IN (SELECT countrycode FROM countrylanguage GROUP BY countrycode HAVING COUNT(DISTINCT language) = 1))",
23,268,How many shops are there in each location?,employee_hire_evaluation,medium,"SELECT count(*) ,  LOCATION FROM shop GROUP BY LOCATION",7,"SELECT location, COUNT(*) AS number_of_shops FROM shop GROUP BY location
SELECT location, COUNT(*) AS number_of_shops FROM shop GROUP BY location
SELECT location, COUNT(*) AS number_of_shops FROM shop GROUP BY location
SELECT location, COUNT(*) AS number_of_shops FROM shop GROUP BY location
SELECT location, COUNT(*) AS number_of_shops FROM shop GROUP BY location
SELECT location, COUNT(*) AS number_of_shops FROM shop GROUP BY location
SELECT location, COUNT(*) AS number_of_shops FROM shop GROUP BY location",
24,502,How many different results are there for the battles?,battle_death,easy,SELECT count(DISTINCT RESULT) FROM battle,7,"SELECT COUNT(DISTINCT result) FROM battles
SELECT COUNT(DISTINCT result) FROM battles
SELECT COUNT(DISTINCT result) FROM battles
SELECT COUNT(DISTINCT result) FROM battles
SELECT COUNT(DISTINCT result) FROM battles
SELECT COUNT(DISTINCT result) FROM battles
SELECT COUNT(DISTINCT result) FROM battles",
25,975,Count the number of dogs of an age below the average.,dog_kennels,hard,SELECT count(*) FROM Dogs WHERE age  <  ( SELECT avg(age) FROM Dogs ),7,"SELECT COUNT(*)  FROM dogs  WHERE age < (SELECT AVG(age) FROM dogs)
SELECT COUNT(*)  FROM dogs  WHERE age < (SELECT AVG(age) FROM dogs)
SELECT COUNT(*)  FROM dogs  WHERE age < (SELECT AVG(age) FROM dogs)
SELECT COUNT(*)  FROM dogs  WHERE age < (SELECT AVG(age) FROM dogs)
SELECT COUNT(*)  FROM dogs  WHERE age < (SELECT AVG(age) FROM dogs)
SELECT COUNT(*)  FROM dogs  WHERE age < (SELECT AVG(age) FROM dogs)
SELECT COUNT(*)  FROM dogs  WHERE age < (SELECT AVG(age) FROM dogs)",
