Question,Hardness,Gold,Without Description,With Description,EM Without,EX Without,EM With,EX With,SYM_DIFF_Without,SYM_DIFF_With
Show all countries and the number of singers in each country.,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT singer.country, COUNT(singer.singer_id) FROM singer GROUP BY singer.country","SELECT COUNTRY, COUNT(Singer_ID) FROM Singer GROUP BY Country",0,1,0,1,1,1
How many singers are from each country?,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(singer_id) FROM singer GROUP BY country","SELECT Country, COUNT(*) FROM singer GROUP BY Country",0,1,1,1,1,1
List all song names by singers above the average age.,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.song_name FROM singer AS s JOIN (SELECT AVG(age) as avg_age FROM singer) AS a WHERE s.age > a.avg_age,SELECT Song_Name FROM Singer WHERE Age > (SELECT AVG(Age) FROM Singer),0,1,1,1,1,1
What are all the song names by singers who are older than average?,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.song_name FROM singer AS s WHERE s.age > (SELECT AVG(s.age) FROM singer AS s),SELECT Song_Name FROM Singer WHERE Age > (SELECT AVG(Age) FROM Singer),1,1,1,1,1,1
Show location and name for all stadiums with a capacity between 5000 and 10000.,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT s.location, s.name FROM stadium AS s WHERE s.capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1,1,1,1,1,1
What are the locations and names of all stations with capacity between 5000 and 10000?,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT s.location, s.name FROM stadium AS s WHERE s.capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1,1,1,1,1,1
What is the maximum capacity and the average of all stadiums ?,medium,"select max(capacity), average from stadium","SELECT MAX(capacity), AVG(average) FROM stadium","SELECT MAX(capacity) AS max_capacity, AVG(average) AS avg_stadium FROM stadium",0,0,0,0,0,0
What is the average and maximum capacities for all stadiums ?,medium,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS maximum_capacity FROM stadium","SELECT AVG(capacity) AS Average_Capacity, MAX(capacity) AS Maximum_Capacity FROM stadium",0,1,0,1,1,1
What is the name and capacity for the stadium with highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT s.name, s.capacity FROM stadium AS s WHERE s.average = (SELECT MAX(average) FROM stadium)","SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)",0,1,0,1,1,1
What is the name and capacity for the stadium with the highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT S.name, S.capacity FROM stadium AS S WHERE S.average = (SELECT MAX(avg) FROM (SELECT AVG(attendance) as avg, stadium_id FROM concert GROUP BY stadium_id))  Based on the given schema and question, this SQL statement selects the name and capacity from the stadium table where the average attendance is the highest.  ","SELECT Name, Capacity FROM Stadium WHERE Average = (SELECT MAX(Average) FROM Stadium)",0,0,0,1,0,1
How many concerts are there in year 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)","SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)",0,1,0,1,1,1
How many concerts occurred in 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM (SELECT * FROM concert WHERE year IN (2014, 2015)) AS relevant_concerts","SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)",0,1,0,1,1,1
Show the stadium name and the number of concerts in each stadium.,medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT s.name AS stadium_name, COUNT(c.concert_id) AS num_of_concerts FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.name","SELECT      s.name AS stadium_name,      COUNT(c.concert_id) AS num_of_concerts  FROM      stadium s  JOIN      concert c ON s.stadium_id = c.stadium_id  GROUP BY      s.stadium_id",0,1,0,1,1,1
"For each stadium, how many concerts play there?",medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.stadium_id, COUNT(concert.concert_id) FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.stadium_id","SELECT s.name AS stadium_name, COUNT(c.concert_id) as num_concerts  FROM stadium s  JOIN concert c ON s.stadium_id = c.stadium_id  GROUP BY s.stadium_id",0,0,0,1,0,1
Show the stadium name and capacity with most number of concerts in year 2014 or after.,extra,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT stadium.name, stadium.capacity FROM stadium INNER JOIN (SELECT concert.stadium_id, COUNT(*) as concert_count FROM concert WHERE YEAR(concert.date) >= 2014 GROUP BY concert.stadium_id ORDER BY concert_count DESC) as year_concerts ON stadium.stadium_id = year_concerts.stadium_id LIMIT 1","SELECT S.name, S.capacity FROM stadium AS S INNER JOIN (SELECT C.stadium_id, COUNT(*) as concert_count FROM concert AS C WHERE C.year >= 2014 GROUP BY C.stadium_id ORDER BY concert_count DESC LIMIT 1) AS T ON S.stadium_id = T.stadium_id",0,0,0,1,0,1
What is the name and capacity of the stadium with the most concerts after 2013 ?,extra,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT s.name, s.capacity  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year > 2013  GROUP BY s.stadium_id  ORDER BY COUNT(*) DESC, s.name ASC  LIMIT 1","SELECT S.name, S.capacity FROM stadium AS S INNER JOIN (SELECT C.stadium_id, COUNT(DISTINCT C.concert_ID) as concert_count FROM concert AS C WHERE YEAR(C.date) > 2013 GROUP BY C.stadium_id ORDER BY -concert_count LIMIT 1) AS stats ON S.stadium_id = stats.stadium_id",0,1,0,0,1,0
Which year has most number of concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,,SELECT Year FROM Concert GROUP BY Year ORDER BY COUNT(*) DESC LIMIT 1,0,0,1,1,0,1
What is the year that had the most concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1",SELECT year FROM concert GROUP BY year ORDER BY COUNT(*) DESC LIMIT 1,0,0,1,1,0,1
Show the stadium names without any concert.,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT DISTINCT s.name FROM stadium AS s LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id WHERE c.concert_id IS NULL,SELECT s.name FROM stadium AS s LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id WHERE c.concert_id IS NULL,0,1,0,1,1,1
What are the names of the stadiums without any concerts?,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT S.name FROM stadium AS S LEFT JOIN concert AS C ON S.stadium_id = C.stadium_id WHERE C.concert_id IS NULL,SELECT [name] FROM stadium WHERE [concert_id] IS NULL,0,1,0,0,1,0
Show countries where a singer above age 40 and a singer below 30 are from.,hard,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT s.country FROM singer AS s WHERE s.age > 40 UNION SELECT s.country FROM singer AS s WHERE s.age < 30,SELECT s.country FROM singer AS s WHERE s.age > 40 UNION SELECT s.country FROM singer AS s WHERE s.age < 30,0,0,0,0,0,0
Show names for all stadiums except for stadiums having a concert in year 2014.,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,"SELECT S.name FROM singer AS S INNER JOIN (SELECT C.concert_id, C.stadium_id FROM concert AS C WHERE C.year <> 2014) AS R ON S.singer_id = R.singer_id",SELECT Name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014),0,0,0,1,0,1
What are the names of all stadiums that did not have a concert in 2014?,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT S.name FROM stadium AS S LEFT JOIN (SELECT C.stadium_id FROM concert AS C WHERE YEAR(C.date) = 2014) AS N ON S.stadium_id = N.stadium_id WHERE N.stadium_id IS NULL,SELECT Name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014),0,0,0,1,0,1
Show the name and theme for all concerts and the number of singers in each concert.,medium,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT c.concert_name, c.theme, COUNT(s.singer_id) as num_singers FROM concert AS c LEFT JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id LEFT JOIN singer AS s ON sic.singer_id = s.singer_id GROUP BY c.concert_name, c.theme","SELECT c.name AS ""Concert Name"", c.theme AS """,0,1,0,0,1,0
"What are the names , themes , and number of singers for every concert ?",medium,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT c.concert_name, c.theme, COUNT(s.name) as singer_count FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id JOIN singer AS s ON sic.singer_id = s.singer_id GROUP BY c.concert_name","SELECT c.concert_name, c.theme, COUNT(s.singer_id) AS num_singers FROM concert AS c LEFT JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id LEFT JOIN singer AS s ON sic.singer_id = s.singer_id GROUP BY c.concert_name, c.theme",0,0,0,1,0,1
List singer names and number of concerts for each singer.,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.name AS singer_name, COUNT(sc.concert_id) AS num_of_concerts FROM singer AS s INNER JOIN singer_in_concert AS sc ON s.singer_id = sc.singer_id GROUP BY s.singer_id","SELECT s.name AS singer_name, COUNT(sic.concert_ID) AS num_of_concerts FROM singer AS s INNER JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id GROUP BY s.name",0,1,0,1,1,1
What are the names of the singers and number of concerts for each person?,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.name, COUNT(c.concert_id) FROM singer AS s INNER JOIN singer_in_concert AS x ON s.singer_id = x.singer_id INNER JOIN concert AS c ON c.concert_id = x.concert_id GROUP BY s.name","SELECT s.name AS singer_name, COUNT(sic.concert_ID) AS concert_count FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.name",0,1,0,1,1,1
List all singer names in concerts in year 2014.,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT s.name FROM singer AS s INNER JOIN (SELECT si.singer_id FROM singer_in_concert ASsic INNER JOIN concert AS c ON sic.concert_id=c.concert_id WHERE c.year=2014) AS to_select ON s.singer_id=to_select.singer_id,SELECT s.name FROM singer AS s INNER JOIN (SELECT si.singer_id FROM singer_in_concert ASsic INNER JOIN concert AS c ON sic.concert_id = c.concert_id WHERE c.year = 2014) AS t ON s.singer_id = t.singer_id,0,0,0,0,0,0
What are the names of the singers who performed in a concert in 2014?,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT s.name FROM singer AS s JOIN (SELECT si.singer_id FROM singer_in_concert ASsic JOIN concert AS c ON sic.concert_id = c.concert_id AND c.year = 2014 JOIN singer AS si ON sic.singer_id = si.singer_id) AS relevant_singers ON s.singer_id = relevant_singers.singer_id,SELECT s.name FROM singer AS s JOIN (SELECT si.singer_id FROM singer_in_concert AS si JOIN concert AS c ON si.concert_id = c.concert_id WHERE c.year = 2014) AS perf ON s.singer_id = perf.singer_id,0,0,0,1,0,1
what is the name and nation of the singer who have a song having 'Hey' in its name?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT s.name AS singer_name, s.country AS nation FROM singer s WHERE EXISTS (     SELECT 1 FROM song so WHERE so.title LIKE '%Hey%' AND so.singer_id = s.singer_id LIMIT 1 ) LIMIT 1","SELECT s.name, s.country FROM singer AS s WHERE s.song_name LIKE '%Hey%'",0,0,1,1,0,1
What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT s.name, s.country FROM singers AS s JOIN songs AS so ON s.singer_id = so.singer_id WHERE LOWER(so.title) LIKE LOWER('%Hey%')""","SELECT s.name AS singer_name, s.country AS country FROM singer s WHERE LOWER(s.song_name) LIKE '%hey%'",0,0,0,1,0,1
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT DISTINCT s.name, s.location FROM stadium AS s INNER JOIN concert AS c ON s.stadium_id = c.stadium_id WHERE (c.year = 2014 OR c.year = 2015) GROUP BY s.name, s.location HAVING COUNT(DISTINCT c.year) = 2","SELECT S.name, S.location FROM stadium AS S INNER JOIN (SELECT stadium_id FROM concert WHERE year IN (2014, 2015) GROUP BY stadium_id) AS C ON S.stadium_id = C.stadium_id",0,1,0,0,1,0
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.name, s.location","SELECT S.name, S.location  FROM stadium AS S  JOIN concert AS C ON S.stadium_id = C.stadium_id  WHERE (C.year = 2014 OR C.year = 2015)  GROUP BY S.name, S.location",0,0,0,0,0,0
Find the number of concerts happened in the stadium with the highest capacity .,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concert INNER JOIN stadium ON concert.stadium_id = stadium.stadium_id WHERE stadium.capacity = (SELECT MAX(capacity) FROM stadium),SELECT COUNT(*) FROM concert WHERE stadium_id = (SELECT stadium_id FROM stadium ORDER BY capacity DESC LIMIT 1),0,1,1,1,1,1
What are the number of concerts that occurred in the stadium with the largest capacity ?,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concert WHERE stadium_id IN (SELECT stadium_id FROM stadium ORDER BY capacity DESC LIMIT 1),SELECT COUNT(*) FROM concert WHERE stadium_id = (SELECT stadium_id FROM stadium ORDER BY capacity DESC LIMIT 1),0,1,1,1,1,1
