Unnamed: 0,Qid,Question,Db_Id,Difficulty,Query Gold,Repeated,Query Generated,Most Frequent Query,Execution Accuracy
41,1429,What is the name of the social event that was attended by the vice president of the Student_Club located at 900 E. Washington St.?,student_club,challenging,SELECT T2.event_name FROM attendance AS T1 INNER JOIN event AS T2 ON T2.event_id = T1.link_to_event INNER JOIN member AS T3 ON T1.link_to_member = T3.member_id WHERE T3.position = 'Vice President' AND T2.location = '900 E. Washington St.' AND T2.type = 'Social',7,"SELECT event_name FROM event WHERE event_id IN (SELECT link_to_event FROM attendance WHERE link_to_member IN (SELECT member_id FROM member WHERE position = 'Vice President' AND zip IN (SELECT zip_code FROM zip_code WHERE zip_code = '900 E. Washington St.')))
SELECT event_name FROM event WHERE event_id IN (SELECT link_to_event FROM attendance WHERE link_to_member IN (SELECT member_id FROM member WHERE position = 'Vice President' AND zip IN (SELECT zip_code FROM zip_code WHERE city = 'Washington' AND state = 'Illinois')))
SELECT event_name FROM event WHERE event_id IN (SELECT link_to_event FROM attendance WHERE link_to_member IN (SELECT member_id FROM member WHERE link_to_major IN (SELECT major_id FROM major WHERE major_name = 'Computer Science')))
SELECT event_name FROM event WHERE event_id IN (SELECT link_to_event FROM attendance WHERE link_to_member IN (SELECT member_id FROM member WHERE position = 'Vice President' AND link_to_major IN (SELECT major_id FROM major WHERE major_name = 'Student_Club' AND zip IN (SELECT zip_code FROM zip_code WHERE zip_code = '900 E. Washington St.'))))
SELECT event_name FROM event WHERE event_id IN (SELECT link_to_event FROM attendance WHERE link_to_member IN (SELECT member_id FROM member WHERE position = 'Vice President' AND zip IN (SELECT zip_code FROM zip_code WHERE city = 'Chicago' AND state = 'Illinois')))
SELECT event_name FROM event WHERE event_id IN (     SELECT link_to_event     FROM attendance     WHERE link_to_member IN (         SELECT member_id         FROM member         WHERE position = 'Vice President'     ) ) AND location = '900 E. Washington St.'
SELECT event_name FROM event WHERE event_id IN (SELECT link_to_event FROM attendance WHERE link_to_member IN (SELECT member_id FROM member WHERE position = 'Vice President' AND zip IN (SELECT zip_code FROM zip_code WHERE zip_code = '900 E. Washington St.')))",SELECT event_name FROM event WHERE event_id IN (SELECT link_to_event FROM attendance WHERE link_to_member IN (SELECT member_id FROM member WHERE position = 'Vice President' AND zip IN (SELECT zip_code FROM zip_code WHERE zip_code = '900 E. Washington St.'))),0.0
42,821,List down Ajax's superpowers.,superhero,simple,SELECT T3.power_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id WHERE T1.superhero_name = 'Ajax',7,"SELECT superhero.superhero_name, superhero.full_name, superhero.height_cm, superhero.weight_kg, superhero.alignment_id, superhero.publisher_id, superhero.race_id, superhero.gender_id, superhero.eye_colour_id, superhero.hair_colour_id, superhero.skin_colour_id, superhero.attribute_id, superhero.attribute_value, superhero.power_id, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power
SELECT superhero.superhero_name, superhero.full_name, superhero.height_cm, superhero.weight_kg, superhero.alignment_id, superhero.publisher_id, superhero.race_id, superhero.gender_id, superhero.eye_colour_id, superhero.hair_colour_id, superhero.skin_colour_id, superhero.attribute_id, superhero.attribute_value, superhero.power_id, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power
SELECT superhero.superhero_name, superhero.full_name, superhero.height_cm, superhero.weight_kg, superhero.alignment_id, superhero.publisher_id, superhero.race_id, superhero.gender_id, superhero.eye_colour_id, superhero.hair_colour_id, superhero.skin_colour_id, superhero.attribute_id, superhero.attribute_value, superhero.power_id, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power
SELECT superhero.superhero_name, superhero.full_name, superhero.height_cm, superhero.weight_kg, superhero.alignment_id, superhero.publisher_id, superhero.race_id, superhero.gender_id, superhero.eye_colour_id, superhero.hair_colour_id, superhero.skin_colour_id, superhero.attribute_id, superhero.attribute_value, superhero.power_id, superhero.power_name FROM superhero JOIN alignment ON superhero.alignment_id = alignment.id JOIN attribute ON superhero.attribute_id = attribute.id JOIN colour ON superhero.colour_id = colour.id JOIN gender ON superhero.gender_id = gender.id JOIN publisher ON superhero.publisher_id = publisher.id JOIN race ON superhero.race_id = race.id JOIN superhero ON superhero.id = hero_attribute.hero_id JOIN superhero ON superhero.id = hero_power.hero_id JOIN superhero ON superhero.id = hero_power.power_id WHERE superhero.superhero_name = 'Ajax' ORDER BY superhero.superhero_name ASC
SELECT superhero.superhero_name, superhero.full_name, superhero.height_cm, superhero.weight_kg, superhero.alignment_id, superhero.publisher_id, superhero.race_id, superhero.gender_id, superhero.eye_colour_id, superhero.hair_colour_id, superhero.skin_colour_id, superhero.attribute_id, superhero.attribute_value, superhero.power_id, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power
SELECT superhero.superhero_name, superpower.power_name FROM superhero JOIN hero_power ON superhero.id = hero_power.hero_id JOIN superpower ON hero_power.power_id = superpower.id WHERE superhero.superhero_name = 'Ajax'
SELECT superhero.superhero_name, superhero.full_name, superhero.height_cm, superhero.weight_kg, superhero.alignment_id, superhero.publisher_id, superhero.race_id, superhero.gender_id, superhero.eye_colour_id, superhero.hair_colour_id, superhero.skin_colour_id, superhero.attribute_id, superhero.attribute_value, superhero.power_id, superhero.power_name, superhero.power_value, superhero.power_value_unit, superhero.power_value_unit_id, superhero.power_value_unit_name, superhero.power_value_unit_symbol, superhero.power_value_unit_symbol_id, superhero.power_value_unit_symbol_name, superhero.power_value_unit_symbol_symbol, superhero.power_value_unit_symbol_symbol_id, superhero.power_value_unit_symbol_symbol_name, superhero.power_value_unit_symbol_symbol_symbol, superhero.power_value_unit_symbol_symbol_symbol_id, superhero.power_value_unit_symbol_symbol_symbol_name, superhero.power_value_unit_symbol_symbol_symbol_symbol, superhero.power_value_unit_symbol_symbol_symbol_symbol_id, superhero.power_value_unit_symbol_symbol_symbol","SELECT superhero.superhero_name, superhero.full_name, superhero.height_cm, superhero.weight_kg, superhero.alignment_id, superhero.publisher_id, superhero.race_id, superhero.gender_id, superhero.eye_colour_id, superhero.hair_colour_id, superhero.skin_colour_id, superhero.attribute_id, superhero.attribute_value, superhero.power_id, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power_name, superhero.power",0.0
43,1192,List all patients who were followed up at the outpatient clinic who underwent a laboratory test in October 1991 and had a total blood bilirubin level within the normal range.,thrombosis_prediction,challenging,SELECT DISTINCT T1.ID FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.Admission = '-' AND T2.`T-BIL` < 2.0 AND T2.Date LIKE '1991-10-%',7,"SELECT * FROM patient WHERE id IN (SELECT id FROM laboratory WHERE date BETWEEN '1991-10-01' AND '1991-10-31' AND t-bil BETWEEN 0 AND 1.5) AND id IN (SELECT id FROM examination WHERE date BETWEEN '1991-10-01' AND '1991-10-31')
SELECT patient.id, patient.sex, patient.birthday, patient.description, patient.first date, patient.admission, patient.diagnosis, laboratory.id, laboratory.date, laboratory.got, laboratory.gpt, laboratory.ldh, laboratory.alp, laboratory.tp, laboratory.alb, laboratory.ua, laboratory.un, laboratory.cre, laboratory.t-bil, laboratory.t-cho, laboratory.tg, laboratory.cpk, laboratory.glu, laboratory.wbc, laboratory.rbc, laboratory.hgb, laboratory.hct, laboratory.plt, laboratory.pt, laboratory.aptt, laboratory.fg, laboratory.pic, laboratory.tat, laboratory.tat2, laboratory.u-pro, laboratory.igg, laboratory.iga, laboratory.igm, laboratory.crp, laboratory.ra, laboratory.rf, laboratory.c3, laboratory.c4, laboratory.rnp, laboratory.sm, laboratory.sc170, laboratory.ssa, laboratory.ssb, laboratory.centromea, laboratory.dna, laboratory.dna-ii FROM patient, laboratory WHERE patient.id = laboratory.id AND laboratory.date = '1991-10-01' AND laboratory.t-bil < 1.5 AND laboratory.t-bil > 0.5
SELECT * FROM patient WHERE id IN (SELECT id FROM examination WHERE examination_date BETWEEN '1991-10-01' AND '1991-10-31' AND t_bil BETWEEN 0 AND 10) AND id IN (SELECT id FROM laboratory WHERE date BETWEEN '1991-10-01' AND '1991-10-31' AND t_bil BETWEEN 0 AND 10)
SELECT * FROM patient WHERE id IN (SELECT id FROM examination WHERE examination_date BETWEEN '1991-10-01' AND '1991-10-31' AND t_bil BETWEEN 0.5 AND 1.5) AND id IN (SELECT id FROM laboratory WHERE date BETWEEN '1991-10-01' AND '1991-10-31' AND t_bil BETWEEN 0.5 AND 1.5)
SELECT patient.id, patient.sex, patient.birthday, patient.description, patient.first date, patient.admission, patient.diagnosis, laboratory.id, laboratory.date, laboratory.got, laboratory.gpt, laboratory.ldh, laboratory.alp, laboratory.tp, laboratory.alb, laboratory.ua, laboratory.un, laboratory.cre, laboratory.t-bil, laboratory.t-cho, laboratory.tg, laboratory.cpk, laboratory.glu, laboratory.wbc, laboratory.rbc, laboratory.hgb, laboratory.hct, laboratory.plt, laboratory.pt, laboratory.aptt, laboratory.fg, laboratory.pic, laboratory.tat, laboratory.tat2, laboratory.u-pro, laboratory.igg, laboratory.iga, laboratory.igm, laboratory.crp, laboratory.ra, laboratory.rf, laboratory.c3, laboratory.c4, laboratory.rnp, laboratory.sm, laboratory.sc170, laboratory.ssa, laboratory.ssb, laboratory.centromea, laboratory.dna, laboratory.dna-ii FROM patient, laboratory WHERE patient.id = laboratory.id AND patient.first date = laboratory.date AND patient.admission = laboratory.admission AND patient.diagnosis = laboratory.diagnosis AND patient.description = laboratory.description AND patient.birthday = laboratory.birthday AND patient.sex = laboratory.sex AND patient.id = laboratory
SELECT patient.id, patient.sex, patient.birthday, patient.description, patient.first date, patient.admission, patient.diagnosis, laboratory.id, laboratory.date, laboratory.got, laboratory.gpt, laboratory.ldh, laboratory.alp, laboratory.tp, laboratory.alb, laboratory.ua, laboratory.un, laboratory.cre, laboratory.t-bil, laboratory.t-cho, laboratory.tg, laboratory.cpk, laboratory.glu, laboratory.wbc, laboratory.rbc, laboratory.hgb, laboratory.hct, laboratory.plt, laboratory.pt, laboratory.aptt, laboratory.fg, laboratory.pic, laboratory.tat, laboratory.tat2, laboratory.u-pro, laboratory.igg, laboratory.iga, laboratory.igm, laboratory.crp, laboratory.ra, laboratory.rf, laboratory.c3, laboratory.c4, laboratory.rnp, laboratory.sm, laboratory.sc170, laboratory.ssa, laboratory.ssb, laboratory.centromea, laboratory.dna, laboratory.dna-ii FROM patient, laboratory WHERE patient.id = laboratory.id AND patient.first date = laboratory.date AND patient.admission = laboratory.admission AND patient.diagnosis = laboratory.diagnosis AND patient.description = laboratory.description AND patient.birthday = laboratory.birthday AND patient.sex = laboratory.sex AND patient.id = laboratory
SELECT * FROM patient WHERE id IN (SELECT id FROM examination WHERE examination_date BETWEEN '1991-10-01' AND '1991-10-31' AND t_bil BETWEEN 0 AND 10) AND id IN (SELECT id FROM laboratory WHERE date BETWEEN '1991-10-01' AND '1991-10-31' AND t_bil BETWEEN 0 AND 10)",SELECT * FROM patient WHERE id IN (SELECT id FROM examination WHERE examination_date BETWEEN '1991-10-01' AND '1991-10-31' AND t_bil BETWEEN 0 AND 10) AND id IN (SELECT id FROM laboratory WHERE date BETWEEN '1991-10-01' AND '1991-10-31' AND t_bil BETWEEN 0 AND 10),0.0
44,1315,"How many students of the Student_Club have attended the event ""Women's Soccer""?",student_club,simple,SELECT COUNT(T1.event_id) FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event WHERE T1.event_name = 'Women''s Soccer',7,"SELECT COUNT(*) FROM attendance WHERE link_to_event IN (     SELECT event_id     FROM event     WHERE event_name = 'Women's Soccer' )
SELECT COUNT(*) FROM attendance WHERE link_to_event IN (SELECT event_id FROM event WHERE event_name = 'Women's Soccer')
SELECT COUNT(*) FROM attendance WHERE link_to_event IN (SELECT event_id FROM event WHERE event_name = 'Women's Soccer')
SELECT COUNT(*) FROM attendance WHERE link_to_event IN (     SELECT event_id     FROM event     WHERE event_name = 'Women's Soccer' )
SELECT COUNT(*) FROM attendance WHERE link_to_event IN (     SELECT event_id     FROM event     WHERE event_name = 'Women's Soccer' )
SELECT COUNT(*) FROM attendance WHERE link_to_event = (SELECT event_id FROM event WHERE event_name = ""Women's Soccer"")
SELECT COUNT(*) FROM attendance WHERE link_to_event IN (     SELECT event_id     FROM event     WHERE event_name = 'Women's Soccer' )",SELECT COUNT(*) FROM attendance WHERE link_to_event IN (     SELECT event_id     FROM event     WHERE event_name = 'Women's Soccer' ),0.0
45,788,How many percent of female heroes were published by Marvel Comics?,superhero,challenging,SELECT CAST(COUNT(CASE WHEN T2.publisher_name = 'Marvel Comics' THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(T1.id) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id INNER JOIN gender AS T3 ON T1.gender_id = T3.id WHERE T3.gender = 'Female',7,"SELECT (COUNT(DISTINCT(superhero.id)) * 100.0 / (SELECT COUNT(DISTINCT(superhero.id)) FROM superhero WHERE alignment_id = 1)) AS female_hero_percent FROM superhero JOIN gender ON superhero.gender_id = gender.id WHERE gender.gender = 'Female' AND alignment_id = 1
SELECT (COUNT(CASE WHEN gender_id = 2 THEN 1 END) * 100.0 / COUNT(*)) AS female_percentage FROM superhero WHERE publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics')
SELECT (COUNT(CASE WHEN gender_id = 2 THEN 1 END) * 100.0 / COUNT(*)) AS female_percent FROM superhero WHERE publisher_id = 1
SELECT (COUNT(CASE WHEN gender_id = 2 THEN 1 END) * 100.0 / COUNT(*)) AS female_percent FROM superhero WHERE publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics')
SELECT (COUNT(DISTINCT(superhero.id)) * 100.0 / (SELECT COUNT(DISTINCT(superhero.id)) FROM superhero WHERE alignment_id = 1)) AS female_hero_percentage FROM superhero JOIN gender ON superhero.gender_id = gender.id WHERE gender.gender = 'Female' AND alignment_id = 1
SELECT (COUNT(DISTINCT(superhero.id)) * 100.0 / (SELECT COUNT(DISTINCT(superhero.id)) FROM superhero WHERE gender_id = 2)) AS female_hero_percent FROM superhero JOIN gender ON superhero.gender_id = gender.id JOIN publisher ON superhero.publisher_id = publisher.id WHERE gender.gender = 'Female' AND publisher.publisher_name = 'Marvel Comics'
SELECT (COUNT(CASE WHEN gender_id = 2 THEN 1 END) * 100.0 / COUNT(*)) AS female_percent FROM superhero WHERE publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics')",SELECT (COUNT(CASE WHEN gender_id = 2 THEN 1 END) * 100.0 / COUNT(*)) AS female_percent FROM superhero WHERE publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics'),0.0
46,307,Name the atoms' elements that form bond TR000_2_3.,toxicology,challenging,SELECT T2.element FROM connected AS T1 INNER JOIN atom AS T2 ON T1.atom_id = T2.atom_id WHERE T1.bond_id = 'TR000_2_3',7,"SELECT atom_id, molecule_id, element FROM atom WHERE molecule_id = (     SELECT molecule_id     FROM molecule     WHERE label = 'TR000_2_3' ) AND atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id IN (         SELECT bond_id         FROM bond         WHERE molecule_id = (             SELECT molecule_id             FROM molecule             WHERE label = 'TR000_2_3'         )     ) )
SELECT atom_id, molecule_id, element FROM TR000_2_3.atom WHERE molecule_id IN (     SELECT molecule_id     FROM molecule     WHERE label = 'TR000_2_3' ) AND atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id IN (         SELECT bond_id         FROM bond         WHERE bond_type = 'TR000_2_3'     ) )
SELECT atom_id, molecule_id, element FROM TR000_2_3.atom WHERE atom_id IN (SELECT atom_id FROM connected WHERE bond_id IN (SELECT bond_id FROM bond WHERE molecule_id = (SELECT molecule_id FROM molecule WHERE label = 'TR000_2_3')))
SELECT atom_id, molecule_id, element FROM atom WHERE molecule_id IN (     SELECT molecule_id     FROM molecule     WHERE label = 'TR000_2_3' ) AND atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id IN (         SELECT bond_id         FROM bond         WHERE bond_type = 'TR000_2_3'     ) )
SELECT atom_id, molecule_id, element FROM TR000_2_3.atom WHERE atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id IN (         SELECT bond_id         FROM bond         WHERE bond_type = 'TR000_2_3'     ) )
SELECT atom_id, atom_id2, bond_id, molecule_id, element, bond_type FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id JOIN molecule ON atom.molecule_id = molecule.molecule_id WHERE molecule.label = 'TR000_2_3' AND element = 'TR000_2_3' AND bond_type = 'TR000_2_3' ORDER BY atom_id, atom_id2, bond_id, molecule_id, element, bond_type
SELECT atom.element, bond.bond_type FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.molecule_id = 'TR000_2_3' AND bond.molecule_id = 'TR000_2_3' AND atom.atom_id IN (SELECT atom_id2 FROM connected WHERE bond_id = bond.bond_id) AND atom.atom_id NOT IN (SELECT atom_id2 FROM connected WHERE bond_id = bond.bond_id AND atom_id = atom.atom_id) AND bond.bond_type = 'TR000_2_3' ORDER BY atom.atom_id, bond.bond_id","SELECT atom_id, molecule_id, element FROM atom WHERE molecule_id = (     SELECT molecule_id     FROM molecule     WHERE label = 'TR000_2_3' ) AND atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id IN (         SELECT bond_id         FROM bond         WHERE molecule_id = (             SELECT molecule_id             FROM molecule             WHERE label = 'TR000_2_3'         )     ) )",0.0
47,1057,Calculate the average home team goal in the 2010/2011 season in the country of Poland.,european_football_2,moderate,SELECT CAST(SUM(t2.home_team_goal) AS REAL) / COUNT(t2.id) FROM Country AS t1 INNER JOIN Match AS t2 ON t1.id = t2.country_id WHERE t1.name = 'Poland' AND t2.season = '2010/2011',7,"SELECT AVG(home_team_goal) FROM match WHERE season = '2010/2011' AND country_id = (SELECT id FROM country WHERE name = 'Poland')
SELECT AVG(home_team_goal) FROM match WHERE season = '2010/2011' AND country_id = (SELECT id FROM country WHERE name = 'Poland')
SELECT AVG(home_team_goal) FROM match WHERE season = '2010/2011' AND country_id = (SELECT id FROM country WHERE name = 'Poland')
SELECT AVG(home_team_goal) FROM match WHERE season = '2010/2011' AND country_id = (SELECT id FROM country WHERE name = 'Poland')
SELECT AVG(home_team_goal) FROM match WHERE season = '2010/2011' AND country_id = (SELECT id FROM country WHERE name = 'Poland')
SELECT AVG(home_team_goal) FROM match WHERE season = '2010/2011' AND country_id = (SELECT id FROM country WHERE name = 'Poland')
SELECT AVG(home_team_goal) FROM match WHERE season = '2010/2011' AND country_id = (SELECT id FROM country WHERE name = 'Poland')",SELECT AVG(home_team_goal) FROM match WHERE season = '2010/2011' AND country_id = (SELECT id FROM country WHERE name = 'Poland'),1.0
48,1264,"Among the patients have blood clots in veins, how many of them have a normal level of complement 4?",thrombosis_prediction,moderate,SELECT COUNT(DISTINCT T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.C4 > 10 AND T1.Diagnosis = 'APS',7,"SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM laboratory WHERE c4 = 'normal') AND id IN (SELECT id FROM examination WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM laboratory WHERE c4 = 'normal') AND id IN (SELECT id FROM examination WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM laboratory WHERE c4 = 'normal') AND id IN (SELECT id FROM examination WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM laboratory WHERE c4 = 'normal') AND id IN (SELECT id FROM examination WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM laboratory WHERE c4 = 'normal') AND id IN (SELECT id FROM examination WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM laboratory WHERE c4 = 'normal') AND id IN (SELECT id FROM examination WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM laboratory WHERE c4 = 'normal') AND id IN (SELECT id FROM examination WHERE thrombosis = 'yes')",SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM laboratory WHERE c4 = 'normal') AND id IN (SELECT id FROM examination WHERE thrombosis = 'yes'),0.0
49,1115,What percentage is Landon Donovan's overall rating higher than Jordan Bowery on 2013/7/12?,european_football_2,challenging,"SELECT (SUM(CASE WHEN t1.player_name = 'Landon Donovan' THEN t2.overall_rating ELSE 0 END) * 1.0 - SUM(CASE WHEN t1.player_name = 'Jordan Bowery' THEN t2.overall_rating ELSE 0 END)) * 100 / SUM(CASE WHEN t1.player_name = 'Landon Donovan' THEN t2.overall_rating ELSE 0 END) LvsJ_percent FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_fifa_api_id = t2.player_fifa_api_id WHERE SUBSTR(t2.`date`, 1, 10) = '2013-07-12'",7,"NULL
SELECT player_attributes.overall_rating, player_attributes.potential, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_attributes.gk_positioning, player_attributes.gk_reflexes, player_attributes.buildupplayspeed, player_
NULL
NULL
NULL
SELECT overall_rating FROM player_attributes WHERE player_api_id = 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
NULL",,0.0
50,592,How many users are awarded with more than 5 badges?,codebase_community,simple,"SELECT COUNT(UserId) FROM ( SELECT UserId, COUNT(Name) AS num FROM badges GROUP BY UserId ) T WHERE T.num > 5",7,"SELECT COUNT(*) FROM users WHERE id IN (SELECT userid FROM badges GROUP BY userid HAVING COUNT(*) > 5)
SELECT COUNT(*) FROM users WHERE id IN (SELECT userid FROM badges GROUP BY userid HAVING COUNT(*) > 5)
SELECT COUNT(*) FROM users WHERE id IN (SELECT userid FROM badges GROUP BY userid HAVING COUNT(*) > 5)
SELECT COUNT(*) FROM users WHERE id IN (SELECT userid FROM badges GROUP BY userid HAVING COUNT(*) > 5)
SELECT COUNT(*) FROM users WHERE id IN (SELECT userid FROM badges GROUP BY userid HAVING COUNT(*) > 5)
SELECT COUNT(*) FROM users WHERE id IN (SELECT userid FROM badges GROUP BY userid HAVING COUNT(*) > 5)
SELECT COUNT(*) FROM users WHERE id IN (SELECT userid FROM badges GROUP BY userid HAVING COUNT(*) > 5)",SELECT COUNT(*) FROM users WHERE id IN (SELECT userid FROM badges GROUP BY userid HAVING COUNT(*) > 5),1.0
51,1232,"Provide ID, sex and age of patient who has blood glucose (GLU) not within normal range but with total cholesterol(T-CHO) within normal range.",thrombosis_prediction,challenging,"SELECT DISTINCT T1.ID, T1.SEX , STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.GLU >= 180 AND T2.`T-CHO` < 250",7,"SELECT id, sex, age FROM patient WHERE id IN (SELECT id FROM laboratory WHERE glu NOT BETWEEN 70 AND 100 AND t-cho BETWEEN 150 AND 200) AND age BETWEEN 18 AND 65
SELECT id, sex, age FROM patient WHERE id IN (SELECT id FROM laboratory WHERE glu NOT BETWEEN 70 AND 100 AND t-cho BETWEEN 150 AND 200)
SELECT id, sex, age FROM patient WHERE id IN (SELECT id FROM laboratory WHERE glu NOT BETWEEN 70 AND 100 AND t-cho BETWEEN 150 AND 200)
SELECT id, sex, age FROM patient WHERE id IN (SELECT id FROM laboratory WHERE glu NOT BETWEEN 70 AND 100 AND t-cho BETWEEN 150 AND 200) AND age BETWEEN 18 AND 65
SELECT patient.id, patient.sex, patient.age FROM patient INNER JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.glu NOT BETWEEN 70 AND 100 AND laboratory.t-cho BETWEEN 150 AND 200
SELECT id, sex, age FROM patient WHERE id IN (SELECT id FROM laboratory WHERE glu NOT BETWEEN 70 AND 100 AND t-cho BETWEEN 150 AND 200) AND age BETWEEN 18 AND 65
SELECT patient.id, patient.sex, patient.age FROM patient INNER JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.glu NOT BETWEEN 70 AND 110 AND laboratory.t-cho BETWEEN 150 AND 200","SELECT id, sex, age FROM patient WHERE id IN (SELECT id FROM laboratory WHERE glu NOT BETWEEN 70 AND 100 AND t-cho BETWEEN 150 AND 200) AND age BETWEEN 18 AND 65",0.0
