Unnamed: 0,Qid,Question,Hardness,Query Gold,Repeated,Query Generated,db_id
16,762,"Find the name, population and expected life length of asian country with the largest area?",hard,"SELECT Name ,  Population ,  LifeExpectancy FROM country WHERE Continent  =  ""Asia"" ORDER BY SurfaceArea DESC LIMIT 1",7,"SELECT name, population, lifeexpectancy FROM country WHERE continent = 'Asia' ORDER BY surfacearea DESC LIMIT 1
SELECT name, population, lifeexpectancy FROM country WHERE continent = 'Asia' ORDER BY surfacearea DESC LIMIT 1
SELECT name, population, lifeexpectancy FROM country WHERE continent = 'Asia' ORDER BY surfacearea DESC LIMIT 1
SELECT country.name, country.population, country.lifeexpectancy FROM country WHERE country.continent = 'Asia' ORDER BY country.surfacearea DESC LIMIT 1
SELECT name, population, lifeexpectancy FROM country WHERE continent = 'Asia' ORDER BY surfacearea DESC LIMIT 1
SELECT name, population, lifeexpectancy FROM country WHERE continent = 'Asia' ORDER BY surfacearea DESC LIMIT 1
SELECT name, population, lifeexpectancy FROM country WHERE continent = 'Asia' ORDER BY surfacearea DESC LIMIT 1",world_1
17,720,What is the name of country that has the shortest life expectancy in Asia?,hard,"SELECT Name FROM country WHERE Continent  =  ""Asia"" ORDER BY LifeExpectancy LIMIT 1",7,"SELECT country.name FROM country WHERE country.continent = 'Asia' ORDER BY country.lifeexpectancy ASC LIMIT 1
SELECT country.name FROM country WHERE country.code IN (SELECT countrycode FROM countrylanguage WHERE countrylanguage.isofficial = 'T' AND countrylanguage.percentage = (SELECT MAX(percentage) FROM countrylanguage WHERE countrylanguage.isofficial = 'T')) AND country.continent = 'Asia' AND country.lifeexpectancy = (SELECT MIN(lifeexpectancy) FROM country WHERE country.continent = 'Asia')
SELECT country.name FROM country WHERE country.lifeexpectancy = (SELECT MIN(country.lifeexpectancy) FROM country WHERE country.continent = 'Asia')
SELECT country.name FROM country WHERE country.continent = 'Asia' ORDER BY country.lifeexpectancy ASC LIMIT 1
SELECT country.name FROM country WHERE country.lifeexpectancy = (SELECT MIN(country.lifeexpectancy) FROM country WHERE country.continent = 'Asia')
SELECT country.name FROM country WHERE country.continent = 'Asia' ORDER BY country.lifeexpectancy ASC LIMIT 1
SELECT country.name FROM country WHERE country.code IN (SELECT countrycode FROM countrylanguage WHERE countrylanguage.isofficial = 'T' AND countrylanguage.percentage = (SELECT MAX(countrylanguage.percentage) FROM countrylanguage WHERE countrylanguage.isofficial = 'T')) AND country.continent = 'Asia' AND country.lifeexpectancy = (SELECT MIN(country.lifeexpectancy) FROM country WHERE country.continent = 'Asia')",world_1
18,287,Find the number of employees hired in each shop; show the shop name as well.,medium,"SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name",7,"SELECT shop.name, COUNT(hiring.employee_id) FROM shop JOIN hiring ON shop.shop_id = hiring.shop_id GROUP BY shop.name
SELECT shop.name, COUNT(hiring.employee_id) AS number_of_employees FROM shop JOIN hiring ON shop.shop_id = hiring.shop_id GROUP BY shop.name
SELECT s.name, COUNT(*) FROM shop s JOIN hiring h ON s.shop_id = h.shop_id GROUP BY s.name
SELECT shop.name, COUNT(hiring.employee_id) AS number_of_employees FROM shop JOIN hiring ON shop.shop_id = hiring.shop_id GROUP BY shop.name
SELECT s.name, COUNT(e.employee_id) FROM shop s JOIN hiring h ON s.shop_id = h.shop_id JOIN employee e ON h.employee_id = e.employee_id GROUP BY s.name
SELECT shop.name, COUNT(hiring.employee_id) AS num_employees FROM shop JOIN hiring ON shop.shop_id = hiring.shop_id GROUP BY shop.name
SELECT shop.name, COUNT(hiring.employee_id) FROM shop JOIN hiring ON shop.shop_id = hiring.shop_id GROUP BY shop.name",employee_hire_evaluation
19,499,What are the ids and names of the battles that led to more than 10 people killed in total.,hard,"SELECT T1.id ,  T1.name FROM battle AS T1 JOIN ship AS T2 ON T1.id  =  T2.lost_in_battle JOIN death AS T3 ON T2.id  =  T3.caused_by_ship_id GROUP BY T1.id HAVING sum(T3.killed)  >  10",7,"SELECT battle.id, battle.name FROM battle JOIN death ON death.caused_by_ship_id = battle.id GROUP BY battle.id HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name FROM battle INNER JOIN death ON death.caused_by_ship_id = ship.id WHERE death.killed > 10
SELECT battle.id, battle.name FROM battle JOIN death ON death.caused_by_ship_id = battle.id GROUP BY battle.id HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name FROM battle INNER JOIN death ON death.caused_by_ship_id = ship.id WHERE ship.lost_in_battle = battle.id AND death.killed > 10
SELECT battle.id, battle.name FROM battle JOIN death ON death.caused_by_ship_id = battle.id GROUP BY battle.id HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name FROM battle JOIN death ON death.caused_by_ship_id = battle.id GROUP BY battle.id HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name FROM battle INNER JOIN death ON death.caused_by_ship_id = ship.id WHERE death.killed > 10",battle_death
20,186,Give the airport code and airport name corresonding to the city Anthony.,medium,"SELECT AirportCode ,  AirportName FROM AIRPORTS WHERE city  =  ""Anthony""",7,"SELECT airports.airportcode, airports.airportname FROM airports WHERE airports.city = 'Anthony'
SELECT airports.airportcode, airports.airportname FROM airports WHERE airports.city = 'Anthony'
SELECT airportcode, airportname FROM airports WHERE city = 'Anthony'
SELECT airportcode, airportname FROM airports WHERE city = 'Anthony'
SELECT airportcode, airportname FROM airports WHERE city = 'Anthony'
SELECT airportcode, airportname FROM airports WHERE city = 'Anthony'
SELECT airportcode, airportname FROM airports WHERE city = 'Anthony'",flight_2
21,260,Count the number of employees,easy,SELECT count(*) FROM employee,7,"SELECT COUNT(*) FROM employee
SELECT COUNT(*) FROM employee
SELECT COUNT(*) FROM employee WHERE employee_id IN (SELECT employee_id FROM hiring WHERE shop_id IN (SELECT shop_id FROM shop WHERE location = 'New York'))
SELECT COUNT(*) FROM employee
SELECT COUNT(*) FROM employee
SELECT COUNT(*) FROM employee
SELECT COUNT(*) FROM employee",employee_hire_evaluation
22,106,What is the name of each continent and how many car makers are there in each one?,hard,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;",7,"SELECT continent, COUNT(DISTINCT car_makers.maker) FROM continents JOIN countries ON continents.contid = countries.continent JOIN car_makers ON countries.countryid = car_makers.country GROUP BY continent
SELECT continent, COUNT(DISTINCT maker) FROM continents JOIN countries ON continents.contid = countries.continent JOIN car_makers ON countries.countryid = car_makers.country GROUP BY continent
SELECT continent, COUNT(DISTINCT maker) FROM continents JOIN countries ON continents.contid = countries.continent JOIN car_makers ON countries.countryid = car_makers.country GROUP BY continent
SELECT continent, COUNT(DISTINCT maker) FROM continents JOIN countries ON continents.contid = countries.continent JOIN car_makers ON countries.countryid = car_makers.country GROUP BY continent
SELECT continent, COUNT(DISTINCT maker) FROM continents JOIN countries ON continents.contid = countries.continent JOIN car_makers ON countries.countryid = car_makers.country GROUP BY continent
SELECT continent, COUNT(DISTINCT maker) FROM continents JOIN countries ON continents.contid = countries.continent JOIN car_makers ON countries.countryid = car_makers.country GROUP BY continent
SELECT continent, COUNT(DISTINCT maker) FROM continents JOIN countries ON continents.contid = countries.continent JOIN car_makers ON countries.countryid = car_makers.country GROUP BY continent",car_1
23,683,List the names of people that are not poker players.,hard,SELECT Name FROM people WHERE People_ID NOT IN (SELECT People_ID FROM poker_player),7,"SELECT name FROM people WHERE people_id NOT IN (SELECT people_id FROM poker_player)
SELECT name FROM people WHERE people_id NOT IN (SELECT people_id FROM poker_player)
SELECT name FROM people WHERE people_id NOT IN (SELECT people_id FROM poker_player)
SELECT name FROM people WHERE people_id NOT IN (SELECT people_id FROM poker_player)
SELECT name FROM people WHERE people_id NOT IN (SELECT people_id FROM poker_player)
SELECT name FROM people WHERE people_id NOT IN (SELECT people_id FROM poker_player)
SELECT name FROM people WHERE people_id NOT IN (SELECT people_id FROM poker_player)",poker_player
24,865,What are the names and grades for each high schooler?,medium,"SELECT name ,  grade FROM Highschooler",7,"SELECT name, grade FROM highschooler
SELECT name, grade FROM highschooler
SELECT name, grade FROM highschooler
SELECT name, grade FROM highschooler
SELECT name, grade FROM highschooler
SELECT name, grade FROM highschooler WHERE id IN (SELECT student_id FROM friend WHERE friend_id = 1789) OR id IN (SELECT liked_id FROM likes WHERE student_id = 1789)
SELECT name, grade FROM highschooler",network_1
25,882,Show the student IDs and numbers of friends corresponding to each.,medium,"SELECT student_id ,  count(*) FROM Friend GROUP BY student_id",7,"SELECT student_id, COUNT(*) FROM friend GROUP BY student_id
SELECT student_id, COUNT(friend_id) FROM friend GROUP BY student_id
SELECT student_id, COUNT(friend_id) FROM friend GROUP BY student_id
SELECT student_id, COUNT(friend_id) FROM friend GROUP BY student_id
SELECT student_id, COUNT(*) FROM friend GROUP BY student_id
SELECT student_id, COUNT(friend_id) FROM friend GROUP BY student_id
SELECT student_id, COUNT(friend_id) FROM friend GROUP BY student_id",network_1
26,630,What is the produdction code and channel of the most recent cartoon ?,medium,"select production_code ,  channel from cartoon order by original_air_date desc limit 1",7,"SELECT production_code, channel FROM cartoon ORDER BY original_air_date DESC LIMIT 1
SELECT production_code, channel FROM cartoon JOIN tv_series ON cartoon.id = tv_series.id WHERE air_date = (SELECT MAX(air_date) FROM tv_series)
SELECT production_code, channel FROM cartoon INNER JOIN tv_series ON cartoon.channel = tv_series.id WHERE air_date = (SELECT MAX(air_date) FROM tv_series)
SELECT production_code, channel FROM cartoon ORDER BY original_air_date DESC LIMIT 1
SELECT production_code, channel FROM cartoon JOIN tv_series ON cartoon.id = tv_series.id JOIN tv_channel ON tv_series.channel = tv_channel.id WHERE air_date = (SELECT MAX(air_date) FROM tv_series)
SELECT production_code, channel FROM cartoon JOIN tv_series ON cartoon.id = tv_series.id WHERE air_date = (SELECT MAX(air_date) FROM tv_series)
SELECT production_code, channel FROM cartoon JOIN tv_series ON cartoon.id = tv_series.id JOIN tv_channel ON tv_series.channel = tv_channel.id ORDER BY air_date DESC LIMIT 1",tvshow
27,37,List all singer names in concerts in year 2014.,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,7,"SELECT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014
SELECT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014
SELECT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014
SELECT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014
SELECT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014
SELECT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014
SELECT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014",concert_singer
28,584,What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ?,hard,select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582',7,"SELECT first_name FROM students WHERE permanent_address_id IN (SELECT address_id FROM addresses WHERE country = 'Haiti') OR cell_mobile_number = '09700166582'
SELECT first_name FROM students WHERE permanent_address_id IN (SELECT address_id FROM addresses WHERE country = 'Haiti') OR cell_mobile_number = '09700166582'
SELECT first_name FROM students WHERE permanent_address_id IN (SELECT address_id FROM addresses WHERE country = 'Haiti') OR cell_mobile_number = '09700166582'
SELECT first_name FROM students WHERE permanent_address_id IN (SELECT address_id FROM addresses WHERE country = 'Haiti') OR cell_mobile_number = '09700166582'
SELECT first_name FROM students WHERE permanent_address_id IN (SELECT address_id FROM addresses WHERE country = 'Haiti') OR cell_mobile_number = '09700166582'
SELECT first_name FROM students WHERE permanent_address_id IN (SELECT address_id FROM addresses WHERE country = 'Haiti') OR cell_mobile_number = '09700166582'
SELECT first_name FROM students WHERE permanent_address_id IN (SELECT address_id FROM addresses WHERE country = 'Haiti') OR cell_mobile_number = '09700166582'",student_transcripts_tracking
29,472,"What are the first names of all players, and their total ranking points?",medium,"SELECT sum(ranking_points) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name",7,"SELECT first_name, SUM(ranking_points) FROM players JOIN rankings ON players.player_id = rankings.player_id GROUP BY first_name
SELECT first_name, SUM(ranking_points) FROM players JOIN rankings ON players.player_id = rankings.player_id GROUP BY first_name
SELECT first_name, SUM(ranking_points) FROM players, rankings WHERE players.player_id = rankings.player_id GROUP BY first_name
SELECT first_name, SUM(ranking_points) FROM players JOIN rankings ON players.player_id = rankings.player_id GROUP BY first_name
SELECT first_name, SUM(ranking_points) FROM players JOIN rankings ON players.player_id = rankings.player_id GROUP BY first_name
SELECT first_name, SUM(ranking_points) FROM players JOIN rankings ON players.player_id = rankings.player_id GROUP BY first_name
SELECT first_name, SUM(ranking_points) FROM players JOIN rankings ON players.player_id = rankings.player_id GROUP BY first_name",wta_1
