Question,hardness,Gold,Prediction_0.1,Prediction_0.5,Prediction_1.0,EX_0.1,EX_0.5,EX_1.0
How many atoms with iodine and with sulfur type elements are there in single bond molecules?,challenging,"SELECT COUNT(DISTINCT CASE WHEN T1.element = 'i' THEN T1.atom_id ELSE NULL END) AS iodine_nums , COUNT(DISTINCT CASE WHEN T1.element = 's' THEN T1.atom_id ELSE NULL END) AS sulfur_nums FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id INNER JOIN bond AS T3 ON T2.bond_id = T3.bond_id WHERE T3.bond_type = '-'",SELECT COUNT(DISTINCT atom_id) FROM connected JOIN bond ON connected.bond_id = bond.bond_id JOIN atom ON connected.atom_id = atom.atom_id WHERE bond_type = '-' AND (element = 'i' OR element = 's'),NULL,NULL,0,0,0
What was the growth rate of the total amount of loans across all accounts for a male client between 1996 and 1997?,challenging,"SELECT CAST((SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1997' THEN T1.amount ELSE 0 END) - SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1996' THEN T1.amount ELSE 0 END)) AS REAL) * 100 / SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1996' THEN T1.amount ELSE 0 END) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN disp AS T3 ON T3.account_id = T2.account_id INNER JOIN client AS T4 ON T4.client_id = T3.client_id WHERE T4.gender = 'M' AND T3.type = 'OWNER'","SELECT      (SUM(CASE WHEN strftime('%Y', loan.date) = '1997' THEN loan.amount ELSE 0 END) -       SUM(CASE WHEN strftime('%Y', loan.date) = '1996' THEN loan.amount ELSE 0 END)) /      SUM(CASE WHEN strftime('%Y', loan.date) = '1996' THEN loan.amount ELSE 0 END) * 100 AS growth_rate FROM      client JOIN      loan ON client.client_id = loan.account_id WHERE      client.gender = 'M'",NULL,NULL,0,0,0
"Paul di Resta was in the No. 853 race, what percent faster did he finish in the 853rd race than the next race for the fastest lap speed?",challenging,"SELECT (SUM(IIF(T2.raceId = 853, T2.fastestLapSpeed, 0)) - SUM(IIF(T2.raceId = 854, T2.fastestLapSpeed, 0))) * 100 / SUM(IIF(T2.raceId = 853, T2.fastestLapSpeed, 0)) FROM drivers AS T1 INNER JOIN results AS T2 ON T2.driverId = T1.driverId WHERE T1.forename = 'Paul' AND T1.surname = 'di Resta'",SELECT      (r1.fastestLapSpeed - r2.fastestLapSpeed) * 100 / r2.fastestLapSpeed AS percentage_difference FROM      results r1 JOIN      results r2 ON      r1.driverId = r2.driverId WHERE      r1.driverId = (SELECT driverId FROM drivers WHERE forename = 'Paul' AND surname = 'di Resta')     AND r1.raceId = 853     AND r2.raceId = 854,NULL,SELECT      (SUM(CASE WHEN T1.raceId = 853 THEN T1.fastestLapSpeed ELSE 0 END) -       SUM(CASE WHEN T1.raceId = 854 THEN T1.fastestLapSpeed ELSE 0 END)) * 100 /      SUM(CASE WHEN T1.raceId = 853 THEN T1.fastestLapSpeed ELSE 0 END) AS percentage FROM results AS T1 INNER JOIN drivers AS T2 ON T1.driverId = T2.driverId WHERE T2.forename = 'Paul' AND T2.surname = 'di Resta',0,0,1
"From 2000 to 2005, what percentage of drivers who were born before 1985 and the lap numbers were over 50?",challenging,"SELECT CAST(SUM(IIF(STRFTIME('%Y', T3.dob) < '1985' AND T1.laps > 50, 1, 0)) AS REAL) * 100 / COUNT(*) FROM results AS T1 INNER JOIN races AS T2 on T1.raceId = T2.raceId INNER JOIN drivers AS T3 on T1.driverId = T3.driverId WHERE T2.year BETWEEN 2000 AND 2005",SELECT      CAST(SUM(CASE WHEN T1.dob < '1985-01-01' AND T2.laps > 50 THEN 1 ELSE 0 END) AS REAL) * 100 /      COUNT(CASE WHEN T1.dob BETWEEN '2000-01-01' AND '2005-12-31' THEN 1 ELSE NULL END) AS percentage FROM      drivers AS T1 JOIN      results AS T2 ON T1.driverId = T2.driverId WHERE      T2.year BETWEEN 2000 AND 2005,"SELECT      ROUND(         (CAST(SUM(CASE WHEN drivers.dob < '1985-01-01' AND results.laps > 50 THEN 1 ELSE 0 END) AS REAL) /           SUM(CASE WHEN drivers.dob BETWEEN '2000-01-01' AND '2005-12-31' THEN 1 ELSE 0 END)) * 100,          2     ) AS percentage FROM      drivers JOIN      results ON drivers.driverId = results.driverId",NULL,0,0,0
Tally the toxicology element of the 4th atom of each molecule that was carcinogenic.,challenging,"SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND SUBSTR(T1.atom_id, -1) = '4' AND LENGTH(T1.atom_id) = 7",NULL,NULL,NULL,0,0,0
"Among all the posts posted by the most influential user, identify the percentage with a score above 50.",challenging,SELECT CAST(SUM(CASE WHEN T2.Score > 50 THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(T1.Id) FROM users T1 INNER JOIN posts T2 ON T1.Id = T2.OwnerUserId INNER JOIN ( SELECT MAX(Reputation) AS max_reputation FROM users ) T3 ON T1.Reputation = T3.max_reputation,NULL,NULL,"SELECT OwnerUserId     FROM posts     WHERE OwnerUserId = (         SELECT Id         FROM users         ORDER BY Reputation DESC         LIMIT 1     ) ), HighScorePosts AS (     SELECT COUNT(*) AS HighScoreCount     FROM posts     WHERE OwnerUserId = (         SELECT OwnerUserId         FROM MostInfluentialUser     ) AND Score > 50 ) SELECT      (SELECT COUNT(*) FROM posts WHERE OwnerUserId = (SELECT OwnerUserId FROM MostInfluentialUser)) AS TotalPosts,     (SELECT HighScoreCount FROM HighScorePosts) AS HighScorePosts,     CAST((SELECT HighScoreCount FROM HighScorePosts) AS REAL) * 100 / (SELECT COUNT(*) FROM posts WHERE OwnerUserId = (SELECT OwnerUserId FROM MostInfluentialUser)) AS Percentage   ### Step 4: Query Review - Verify all table/column references: Correctly references `posts` and `users` - Check join conditions: No need for joins as it's a subquery approach - Confirm aggregations and groupings: Correctly uses `COUNT` and `CAST` for percentage calculation - Validate against requirements: Matches the requirement for identifying the percentage of high-score posts by the most influential user  ",0,0,0
"List all the elements of the toxicology of the molecule ""TR004"".",challenging,SELECT DISTINCT T.element FROM atom AS T WHERE T.molecule_id = 'TR004',NULL,NULL,NULL,0,0,0
"What is the difference of the average ball control score between Abdou Diallo and Aaron Appindangoye
?",challenging,SELECT CAST(SUM(CASE WHEN t1.player_name = 'Abdou Diallo' THEN t2.ball_control ELSE 0 END) AS REAL) / COUNT(CASE WHEN t1.player_name = 'Abdou Diallo' THEN t2.id ELSE NULL END) - CAST(SUM(CASE WHEN t1.player_name = 'Aaron Appindangoye' THEN t2.ball_control ELSE 0 END) AS REAL) / COUNT(CASE WHEN t1.player_name = 'Aaron Appindangoye' THEN t2.id ELSE NULL END) FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id,SELECT      (AVG(CASE WHEN player_name = 'Abdou Diallo' THEN ball_control ELSE 0 END) -      AVG(CASE WHEN player_name = 'Aaron Appindangoye' THEN ball_control ELSE 0 END)) AS difference FROM      Player JOIN      Player_Attributes ON Player.player_api_id = Player_Attributes.player_api_id,SELECT      (SUM(CASE WHEN T1.player_name = 'Abdou Diallo' THEN T2.ball_control ELSE 0 END) / COUNT(CASE WHEN T1.player_name = 'Abdou Diallo' THEN T2.id ELSE NULL END)) -     (SUM(CASE WHEN T1.player_name = 'Aaron Appindangoye' THEN T2.ball_control ELSE 0 END) / COUNT(CASE WHEN T1.player_name = 'Aaron Appindangoye' THEN T2.id ELSE NULL END)) AS difference FROM      Player AS T1 JOIN      Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id,NULL,0,0,0
Which members who were approved from 1/10/2019 to 11/19/2019? Please identify the member who attended the event and the link to their event.,challenging,"SELECT DISTINCT T1.link_to_member, T3.link_to_event FROM expense AS T1 INNER JOIN member AS T2 ON T1.link_to_member = T2.member_id INNER JOIN attendance AS T3 ON T2.member_id = T3.link_to_member WHERE date(SUBSTR(T1.expense_date, 1, 10)) BETWEEN '2019-01-10' AND '2019-11-19' AND T1.approved = 'true'","Select the first_name, last_name, and link_to_event from the member and attendance tables.  SQLite Query: sql SELECT T2.first_name, T2.last_name, T1.link_to_event  FROM attendance AS T1  JOIN member AS T2 ON T1.link_to_member = T2.member_id  JOIN expense AS T3 ON T1.link_to_member = T3.link_to_member  WHERE T3.approved = 'true' AND T3.expense_date BETWEEN '2019-01-10' AND '2019-11-19'   ",NULL,NULL,0,0,0
What is the element with the atom ID of TR004_7 in molecule that is not carcinogenic?,challenging,SELECT T1.element FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.atom_id = 'TR004_7' AND T2.label = '-',NULL,NULL,NULL,0,0,0
Please list the patient's ID if he or she has an abnormal level of red blood cell and is followed at the outpatient clinic.,challenging,SELECT DISTINCT T1.ID FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE (T2.RBC <= 3.5 OR T2.RBC >= 6) AND T1.Admission = '-',NULL,"SELECT         P.ID AS PatientID,         L.RBC AS AbnormalRBC,         E.ExaminationDate AS ExaminationDate    FROM         Examination E    JOIN         Laboratory L ON E.ID = L.ID    JOIN         Patient P ON E.ID = P.ID    WHERE         (L.RBC < 3.5 OR L.RBC > 6.0)        AND P.Admission = '-'",NULL,0,0,0
For all cards illustrated by Jim Pavelec. and describe the text of the ruling of these cards. Do these cards have missing or degraded properties and values.,challenging,"SELECT T2.text , CASE WHEN T1.hasContentWarning = 1 THEN 'YES' ELSE 'NO' END FROM cards AS T1 INNER JOIN rulings AS T2 ON T2.uuid = T1.uuid WHERE T1.artist = 'Jim Pavelec'","SELECT      cards.id AS card_id,     cards.artist,     rulings.text AS ruling_text,     cards.hasContentWarning FROM      cards JOIN      rulings ON cards.uuid = rulings.uuid WHERE      cards.artist = 'Jim Pavelec'",NULL,NULL,0,0,0
How many male patients who underwent testing between 1995 and 1997 and were subsequently diagnosed with Behcet disease did not stay in the hospital for treatment?,challenging,"SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID WHERE T2.Diagnosis = 'Behcet' AND T1.SEX = 'M' AND STRFTIME('%Y', T2.`Examination Date`) BETWEEN '1995' AND '1997' AND T1.Admission = '-'",SELECT COUNT(DISTINCT p.ID) AS MaleBehcetPatients FROM Patient p JOIN Examination e ON p.ID = e.ID WHERE p.SEX = 'M'   AND e.`Examination Date` BETWEEN '1995-01-01' AND '1997-12-31'   AND e.Diagnosis = 'Behcet'   AND p.Admission = '-',NULL,NULL,1,0,0
Calculate the percentage whereby Hamilton was not at the 1st track of the the f1 circuit since 2010.,challenging,SELECT CAST(COUNT(CASE WHEN T2.position <> 1 THEN T2.position END) AS REAL) * 100 / COUNT(T2.driverStandingsId) FROM races AS T1 INNER JOIN driverStandings AS T2 ON T2.raceId = T1.raceId INNER JOIN drivers AS T3 ON T3.driverId = T2.driverId WHERE T3.surname = 'Hamilton' AND T1.year >= 2010,SELECT      CAST(COUNT(CASE WHEN position > 1 THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(*) AS percentage FROM      driverStandings JOIN      drivers ON driverStandings.driverId = drivers.driverId JOIN      races ON driverStandings.raceId = races.raceId WHERE      drivers.surname = 'Hamilton' AND races.year >= 2010,NULL,NULL,1,0,0
What is the percentage of cards whose language is French among the Story Spotlight cards?,challenging,SELECT CAST(SUM(CASE WHEN T2.language = 'French' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(T1.id) FROM cards AS T1 INNER JOIN foreign_data AS T2 ON T1.uuid = T2.uuid WHERE T1.isStorySpotlight = 1,SELECT      CAST(COUNT(CASE WHEN ft.language = 'French' THEN 1 ELSE NULL END) AS REAL) * 100 /      COUNT(ct.uuid) AS percentage FROM      cards ct JOIN      set_translations st ON ct.uuid = st.uuid JOIN      foreign_data ft ON ct.uuid = ft.uuid WHERE      ct.isStorySpotlight = 1,NULL,NULL,0,0,0
"Among all the lap records set on various circuits, what is the time for the fastest one?",challenging,"SELECT time FROM lapTimes ORDER BY (CASE WHEN INSTR(time, ':') <> INSTR(SUBSTR(time, INSTR(time, ':') + 1), ':') + INSTR(time, ':') THEN CAST(SUBSTR(time, 1, INSTR(time, ':') - 1) AS REAL) * 3600 ELSE 0 END) + (CAST(SUBSTR(time, INSTR(time, ':') - 2 * (INSTR(time, ':') = INSTR(SUBSTR(time, INSTR(time, ':') + 1), ':') + INSTR(time, ':')), INSTR(time, ':') - 1) AS REAL) * 60) + (CAST(SUBSTR(time, INSTR(time, ':') + 1, INSTR(time, '.') - INSTR(time, ':') - 1) AS REAL)) + (CAST(SUBSTR(time, INSTR(time, '.') + 1) AS REAL) / 1000) ASC LIMIT 1",NULL,NULL,"Select the minimum lap time, circuit name, and driver's first and last name    - Order by the lap time in ascending order    - Limit the result to 1 record  4. **Query Review**:    - Verify all table/column references are correct    - Check join conditions and ensure they align with the schema    - Confirm that the aggregation (min) and groupings are correctly applied    - Validate that the query meets all requirements  ",0,0,0
"What is the difference in the annual average consumption of the customers with the least amount of consumption paid in CZK for 2013 between SME and LAM, LAM and KAM, and KAM and SME?",challenging,"SELECT CAST(SUM(IIF(T1.Segment = 'SME', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'LAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) , CAST(SUM(IIF(T1.Segment = 'LAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'KAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) , CAST(SUM(IIF(T1.Segment = 'KAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'SME', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'CZK' AND T2.Consumption = ( SELECT MIN(Consumption) FROM yearmonth ) AND T2.Date BETWEEN 201301 AND 201312","SELECT      Segment,      AVG(Consumption) AS AnnualAverageConsumption FROM      yearmonth JOIN      customers ON yearmonth.CustomerID = customers.CustomerID WHERE      Date BETWEEN '201301' AND '201312' GROUP BY      Segment",NULL,NULL,0,0,0
What percentage of patients with a proteinuria level within the normal range have a uric acid level below the normal range?,challenging,SELECT CAST(SUM(CASE WHEN UA <= 6.5 THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(ID) FROM Laboratory WHERE `U-PRO` > 0 AND `U-PRO` < 30,SELECT      (COUNT(CASE WHEN UA <= 6.5 THEN 1 ELSE NULL END) * 100.0 / COUNT(*)) AS Percentage FROM      Laboratory L JOIN      Patient P ON L.ID = P.ID WHERE      L.`U-PRO` > 0 AND L.`U-PRO` < 30,SELECT CAST(SUM(CASE WHEN T2.UA <= 6.5 THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(T1.ID) AS Percentage FROM Examination AS T1 JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.U-PRO > 0 AND T1.U-PRO < 30,SELECT    (SUM(CASE WHEN UA <= 6.5 THEN 1 ELSE 0 END) / COUNT(*)) * 100 AS Percentage FROM    Examination JOIN    Laboratory ON Examination.ID = Laboratory.ID WHERE    U-PRO > 0 AND U-PRO < 30,1,0,0
