Unnamed: 0,Qid,Question,Db_Id,hardness,Query Gold,Repeated,Query Generated,Most Frequent Query,Exact Match,Execution Accuracy
10,459,Find the first name and country code of the player who did the most number of tours.,wta_1,hard,"SELECT T1.country_code ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id ORDER BY T2.tours DESC LIMIT 1",7,"SELECT p.first_name, p.country_code FROM players p JOIN rankings r ON p.player_id = r.player_id ORDER BY r.tours DESC LIMIT 1
SELECT p.first_name, p.country_code FROM players p JOIN rankings r ON p.player_id = r.player_id ORDER BY r.tours DESC LIMIT 1
SELECT p.first_name, p.country_code FROM players p JOIN rankings r ON p.player_id = r.player_id ORDER BY r.tours DESC LIMIT 1
SELECT p.first_name, p.country_code FROM players p JOIN rankings r ON p.player_id = r.player_id ORDER BY r.tours DESC LIMIT 1
SELECT p.first_name, p.country_code FROM players p JOIN rankings r ON p.player_id = r.player_id ORDER BY r.tours DESC LIMIT 1
SELECT p.first_name, p.country_code FROM players p JOIN rankings r ON p.player_id = r.player_id ORDER BY r.tours DESC LIMIT 1
SELECT p.first_name, p.country_code FROM players p JOIN rankings r ON p.player_id = r.player_id ORDER BY r.tours DESC LIMIT 1","SELECT p.first_name, p.country_code FROM players p JOIN rankings r ON p.player_id = r.player_id ORDER BY r.tours DESC LIMIT 1",0,0.0
11,770,What is the total number of unique official languages spoken in the countries that are founded before 1930?,world_1,medium,"SELECT count(DISTINCT T2.Language) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE  IndepYear  <  1930 AND T2.IsOfficial  =  ""T""",7,"SELECT COUNT(DISTINCT language) FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE indepyear < 1930)
SELECT COUNT(DISTINCT language) FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE indepyear < 1930)
SELECT COUNT(DISTINCT language) FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE indepyear < 1930)
SELECT COUNT(DISTINCT language) FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE indepyear < 1930)
SELECT COUNT(DISTINCT language) FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE indepyear < 1930)
SELECT COUNT(DISTINCT language) FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE indepyear < 1930)
SELECT COUNT(DISTINCT language) FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE indepyear < 1930)",SELECT COUNT(DISTINCT language) FROM countrylanguage WHERE countrycode IN (SELECT code FROM country WHERE indepyear < 1930),0,0.0
12,7,What are the names and release years for all the songs of the youngest singer?,concert_singer,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",7,"SELECT singer.name, singer.song_release_year FROM singer WHERE singer.age = (SELECT MIN(age) FROM singer)
SELECT s.name, s.song_release_year FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id JOIN concert c ON sic.concert_id = c.concert_id WHERE s.age = (SELECT MIN(age) FROM singer)
SELECT s.name, s.song_release_year FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id JOIN concert c ON sic.concert_id = c.concert_id WHERE s.age = (SELECT MIN(age) FROM singer)
SELECT s.name, s.song_release_year FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id JOIN concert c ON sic.concert_id = c.concert_id WHERE s.age = (SELECT MIN(age) FROM singer)
SELECT s.name, s.song_release_year FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id JOIN concert c ON sic.concert_id = c.concert_id WHERE s.age = (SELECT MIN(age) FROM singer)
SELECT singer.name, singer.song_release_year FROM singer WHERE singer.age = (SELECT MIN(age) FROM singer)
SELECT s.name, s.song_release_year FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id JOIN concert c ON sic.concert_id = c.concert_id WHERE s.age = (SELECT MIN(age) FROM singer)","SELECT s.name, s.song_release_year FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id JOIN concert c ON sic.concert_id = c.concert_id WHERE s.age = (SELECT MIN(age) FROM singer)",0,0.0
13,558,"What is the first, middle, and last name of the earliest school graduate?",student_transcripts_tracking,medium,"SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_left ASC LIMIT 1",7,"SELECT first_name, middle_name, last_name  FROM students  ORDER BY date_first_registered  LIMIT 1
SELECT first_name, middle_name, last_name  FROM students  ORDER BY date_left  LIMIT 1
SELECT first_name, middle_name, last_name  FROM students  ORDER BY date_left  LIMIT 1
SELECT first_name, middle_name, last_name  FROM students  WHERE date_left IS NULL  ORDER BY date_first_registered  LIMIT 1
SELECT first_name, middle_name, last_name  FROM students  ORDER BY date_left  LIMIT 1
SELECT first_name, middle_name, last_name  FROM students  ORDER BY date_first_registered  LIMIT 1
SELECT first_name, middle_name, last_name  FROM students  ORDER BY date_first_registered  LIMIT 1","SELECT first_name, middle_name, last_name  FROM students  ORDER BY date_first_registered  LIMIT 1",0,1.0
14,586,What are the titles of the cartoons sorted alphabetically?,tvshow,easy,SELECT Title FROM Cartoon ORDER BY title,7,"SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC
SELECT title FROM cartoon ORDER BY title ASC",SELECT title FROM cartoon ORDER BY title ASC,True,1.0
15,894,Show ids of all students who do not have any friends.,network_1,hard,SELECT id FROM Highschooler EXCEPT SELECT student_id FROM Friend,7,"SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend) AND id NOT IN (SELECT likes.student_id FROM likes)
SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend) AND id NOT IN (SELECT likes.student_id FROM likes)
SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend) AND id NOT IN (SELECT likes.student_id FROM likes)
SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend) AND id NOT IN (SELECT liked_id FROM likes)
SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend) AND id NOT IN (SELECT likes.student_id FROM likes)
SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend) AND id NOT IN (SELECT likes.student_id FROM likes)
SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend) AND id NOT IN (SELECT likes.student_id FROM likes)",SELECT id FROM highschooler WHERE id NOT IN (SELECT student_id FROM friend) AND id NOT IN (SELECT likes.student_id FROM likes),0,0.0
16,177,What are the id and names of the countries which have more than 3 car makers or produce the 'fiat' model?,car_1,extra,"SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.countryId HAVING count(*)  >  3 UNION SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country JOIN MODEL_LIST AS T3 ON T2.Id  =  T3.Maker WHERE T3.Model  =  'fiat';",7,"SELECT c.countryid, c.countryname FROM countries c JOIN car_makers cm ON c.countryid = cm.country WHERE cm.country IS NOT NULL GROUP BY c.countryid, c.countryname HAVING COUNT(DISTINCT cm.id) > 3 OR EXISTS (     SELECT 1     FROM model_list ml     JOIN car_names cn ON ml.model = cn.model     WHERE cn.make = 'fiat' AND ml.maker = cm.id )
SELECT c.countryid, c.countryname FROM countries c JOIN car_makers cm ON c.countryid = cm.country WHERE cm.country IS NOT NULL GROUP BY c.countryid, c.countryname HAVING COUNT(DISTINCT cm.id) > 3 OR EXISTS (     SELECT 1     FROM model_list ml     JOIN car_names cn ON ml.model = cn.model     WHERE cn.make = 'fiat' AND ml.maker = cm.id )
SELECT c.countryid, c.countryname FROM countries c JOIN car_makers cm ON c.countryid = cm.country WHERE cm.country IS NOT NULL GROUP BY c.countryid, c.countryname HAVING COUNT(DISTINCT cm.id) > 3 OR EXISTS (     SELECT 1     FROM model_list ml     JOIN car_names cn ON ml.model = cn.model     WHERE cn.make = 'fiat' AND ml.maker = cm.id )
SELECT c.countryid, c.countryname FROM countries c JOIN car_makers cm ON c.countryid = cm.country WHERE cm.country IS NOT NULL GROUP BY c.countryid, c.countryname HAVING COUNT(DISTINCT cm.id) > 3 OR EXISTS (     SELECT 1     FROM model_list ml     JOIN car_names cn ON ml.model = cn.model     WHERE cn.make = 'fiat' AND ml.maker = cm.id )
SELECT c.countryid, c.countryname FROM countries c JOIN car_makers cm ON c.countryid = cm.country WHERE cm.country IS NOT NULL GROUP BY c.countryid, c.countryname HAVING COUNT(DISTINCT cm.id) > 3 OR EXISTS (     SELECT 1     FROM model_list ml     JOIN car_names cn ON ml.model = cn.model     WHERE cn.make = 'fiat' AND ml.maker = cm.id )
SELECT c.countryid, c.countryname FROM countries c JOIN car_makers cm ON c.countryid = cm.country WHERE cm.country IS NOT NULL GROUP BY c.countryid, c.countryname HAVING COUNT(DISTINCT cm.id) > 3 OR EXISTS (     SELECT 1     FROM model_list ml     JOIN car_names cn ON ml.model = cn.model     WHERE cn.make = 'fiat' AND ml.maker = cm.id )
SELECT c.countryid, c.countryname FROM countries c JOIN car_makers cm ON c.countryid = cm.country WHERE cm.country IS NOT NULL GROUP BY c.countryid, c.countryname HAVING COUNT(DISTINCT cm.id) > 3 OR EXISTS (     SELECT 1     FROM model_list ml     JOIN car_names cn ON ml.model = cn.model     WHERE cn.make = 'fiat' AND ml.maker = cm.id )","SELECT c.countryid, c.countryname FROM countries c JOIN car_makers cm ON c.countryid = cm.country WHERE cm.country IS NOT NULL GROUP BY c.countryid, c.countryname HAVING COUNT(DISTINCT cm.id) > 3 OR EXISTS (     SELECT 1     FROM model_list ml     JOIN car_names cn ON ml.model = cn.model     WHERE cn.make = 'fiat' AND ml.maker = cm.id )",0,0.0
17,918,Which states have both owners and professionals living there?,dog_kennels,hard,SELECT state FROM Owners INTERSECT SELECT state FROM Professionals,7,"SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state WHERE p.state IS NOT NULL AND o.state IS NOT NULL
SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state WHERE p.state IS NOT NULL AND o.state IS NOT NULL
SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state WHERE p.state IS NOT NULL AND o.state IS NOT NULL
SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state WHERE p.state IS NOT NULL AND o.state IS NOT NULL
SELECT DISTINCT state FROM owners JOIN professionals ON owners.state = professionals.state
SELECT DISTINCT state FROM owners JOIN professionals ON owners.state = professionals.state
SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state",SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state WHERE p.state IS NOT NULL AND o.state IS NOT NULL,0,1.0
18,103,Which distinct car models are the produced after 1980?,car_1,hard,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;,7,"SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.modelid = car_names.makeid JOIN cars_data ON car_names.model = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.modelid = car_names.makeid JOIN cars_data ON car_names.model = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.modelid = car_names.makeid JOIN cars_data ON car_names.model = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.modelid = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.modelid = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.modelid = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980
SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.modelid = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980",SELECT DISTINCT model_list.model FROM model_list JOIN car_names ON model_list.modelid = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE cars_data.year > 1980,True,0.0
19,307,How many documents are using the template with type code 'PPT'?,cre_Doc_Template_Mgt,medium,SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',7,"SELECT COUNT(*) FROM documents JOIN templates ON documents.template_id = templates.template_id WHERE templates.template_type_code = 'PPT'
SELECT COUNT(*) FROM documents JOIN templates ON documents.template_id = templates.template_id WHERE templates.template_type_code = 'PPT'
SELECT COUNT(*) FROM documents JOIN templates ON documents.template_id = templates.template_id WHERE templates.template_type_code = 'PPT'
SELECT COUNT(*) FROM documents JOIN templates ON documents.template_id = templates.template_id WHERE templates.template_type_code = 'PPT'
SELECT COUNT(*) FROM documents JOIN templates ON documents.template_id = templates.template_id WHERE templates.template_type_code = 'PPT'
SELECT COUNT(*) FROM documents JOIN templates ON documents.template_id = templates.template_id WHERE templates.template_type_code = 'PPT'
SELECT COUNT(*) FROM documents JOIN templates ON documents.template_id = templates.template_id WHERE templates.template_type_code = 'PPT'",SELECT COUNT(*) FROM documents JOIN templates ON documents.template_id = templates.template_id WHERE templates.template_type_code = 'PPT',True,1.0
