Question,Hardness,Gold,Without Description,With Description,EM Without,EX Without,EM With,EX With
Show the stadium names without any concert.,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2021) AND capacity > 0,True,1,0,0
What are the names of the stadiums without any concerts?,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),NULL,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),0,0,True,1
Show countries where a singer above age 40 and a singer below 30 are from.,hard,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,select only the unique countries where these singers come from. SQL Query: SELECT DISTINCT country FROM (SELECT s.country FROM singer AS s INNER JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id WHERE s.age > 40 UNION SELECT s.country FROM singer AS s INNER JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id WHERE s.age < 30) AS result,SELECT country FROM singer WHERE age > 40 UNION SELECT country FROM singer WHERE age < 30,0,0,0,0
Show names for all stadiums except for stadiums having a concert in year 2014.,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,Select all stadiums except for those with a concert in the year 2014. query = '''     SELECT s.name FROM stadium AS s     LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id     WHERE NOT (c.year = 2014) ''' cur.execute(query) rows = cur.fetchall() for row in rows:     print(row[0])  # Print stadium name.  ,SELECT Name FROM stadium WHERE stadium_ID NOT IN (SELECT stadium_id FROM concert WHERE year = 2014),0,0,0,1
What are the names of all stadiums that did not have a concert in 2014?,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014),0,1,0,1
Show the name and theme for all concerts and the number of singers in each concert.,medium,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",NULL,"SELECT c.name, c.theme, COUNT(*) as num_singers FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id JOIN singer AS s ON sic.singer_id = s.singer_id GROUP BY c.name, c.theme",0,0,0,0
"What are the names , themes , and number of singers for every concert ?",medium,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id",NULL,"SELECT c.concert_name, c.theme, COUNT(*) FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id JOIN singer AS s ON sic.singer_id = s.singer_id GROUP BY c.concert_name, c.theme",0,0,0,1
List singer names and number of concerts for each singer.,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.name, COUNT(sic.concert_id)  FROM singer AS s  LEFT JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  GROUP BY s.name","SELECT name, COUNT(concert_id) FROM singers INNER JOIN concerts ON singers.id = concerts.singer_id GROUP BY name",0,0,0,0
What are the names of the singers and number of concerts for each person?,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",NULL,SELECT name FROM singer WHERE (SELECT COUNT(*) FROM concert JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID WHERE singer_in_concert.Singer_ID = singer.singer_ID) AS number_of_concerts,0,0,0,0
List all singer names in concerts in year 2014.,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT s.name FROM singer AS s INNER JOIN (SELECT si.singer_id FROM singer_in_concert ASsic INNER JOIN concert AS c ON sic.concert_id=c.concert_id WHERE c.year = 2014) AS to_select ON s.singer_id=to_select.singer_id,"SELECT s.name FROM Singer AS s INNER JOIN (SELECT si.singer_id FROM SingerInConcert AS si INNER JOIN Concert ON si.concert_id = concert.id WHERE YEAR(CONVERT_TZ(ts, 'SYSTEM', 'LOCAL')) = 2014) sc ON s.id = sc.singer_id",0,0,0,0
What are the names of the singers who performed in a concert in 2014?,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,"Select all records where the year is 2014.  2) From those records, select only the ones that have 'singer' as their role.  3) ",SELECT name FROM singer WHERE Singer_ID IN (SELECT Singer_ID FROM singer_in_concert WHERE concert_ID IN (SELECT concert_ID FROM concert WHERE year = 2014)) ,0,0,0,1
what is the name and nation of the singer who have a song having 'Hey' in its name?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",NULL,"SELECT name, country FROM singer WHERE song_name LIKE '%Hey%'",0,0,True,1
What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT s.name, s.country FROM singer AS s WHERE LOWER(s.song_name) LIKE '%hey%'  ","SELECT name, country FROM singer WHERE song_name LIKE '%Hey%'",0,1,True,1
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",NULL,"SELECT S.name, S.location FROM Stadium AS S WHERE EXISTS (SELECT * FROM Concert AS C WHERE C.stadium_id = S.stadium_id AND C.year = 2014) AND EXISTS (SELECT * FROM Concert AS C WHERE C.stadium_id = S.stadium_id AND C.year = 2015)",0,0,0,1
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",NULL,"SELECT S.name, S.location FROM Stadium AS S WHERE EXISTS (SELECT * FROM Concert AS C WHERE C.stadium_id = S.stadium_id AND C.year = 2014) AND EXISTS (SELECT * FROM Concert AS C WHERE C.stadium_id = S.stadium_id AND C.year = 2015)",0,0,0,1
Find the number of concerts happened in the stadium with the highest capacity .,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),NULL,SELECT COUNT(*) FROM stadium INNER JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE stadium.capacity = (SELECT MAX(capacity) FROM stadium),0,0,0,1
What are the number of concerts that occurred in the stadium with the largest capacity ?,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),NULL,"SELECT COUNT(*) FROM (SELECT * FROM stadium WHERE capacity = (SELECT MAX(capacity) FROM stadium)), concert WHERE stadium_id = stadium_ID",0,0,0,0
