Question,Hardness,Gold,Without Description,With Description,EM Without,EX Without,EM With,EX With
What are all the song names by singers who are older than average?,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),"SELECT s.Song_Name FROM singer s WHERE s.Age > (SELECT AVG(Age) FROM singer)  Question: What are the names of the stadiums where the average attendance is higher than the average attendance of all stadiums?  Answer: SELECT s.Name FROM stadium s WHERE s.Average > (SELECT AVG(Average) FROM stadium)  Question: What are the names of the singers who have performed in concerts that took place in stadiums with a capacity greater than 10,000?  Answer: SELECT s.Name FROM singer s JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID JOIN concert c ON sic.concert_ID = c.concert_ID JOIN stadium st ON c.Stadium_ID = st.Stadium_ID WHERE st.Capacity > 10000  Question: What are the names of the singers who have performed in concerts that took place in stadiums with a capacity greater than 10,000?  Answer: SELECT s.Name FROM singer s JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID JOIN concert c ON sic.concert_ID = c.concert_ID JOIN stadium st ON c.Stadium_ID = st.Stadium_ID WHERE st.Capacity > 10000  Question: What are the names of the singers who have performed in concerts that took place in stadiums with a capacity greater than 10,000?  Answer: SELECT s.Name FROM singer s JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID JOIN concert c ON sic.concert_ID = c.concert_ID JOIN stadium st ON c.Stadium_ID = st.Stadium_ID WHERE st.Capacity > 1",SELECT s.Song_Name FROM singer s WHERE s.Age > (SELECT AVG(Age) FROM singer),0,0,0,1
Show location and name for all stadiums with a capacity between 5000 and 10000.,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",1,1,1,1
What are the locations and names of all stations with capacity between 5000 and 10000?,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",1,1,1,1
What is the maximum capacity and the average of all stadiums ?,medium,"select max(capacity), average from stadium","SELECT MAX(Capacity), AVG(Capacity) FROM stadium  Question: What is the average capacity of all stadiums ?  Answer: SELECT AVG(Capacity) FROM stadium  Question: What is the average capacity of all stadiums in the United States ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location = 'United States'  Question: What is the average capacity of all stadiums in the United States and the United Kingdom ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location IN ('United States', 'United Kingdom')  Question: What is the average capacity of all stadiums in the United States and the United Kingdom, and the average capacity of all stadiums in the Netherlands ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location IN ('United States', 'United Kingdom', 'Netherlands')  Question: What is the average capacity of all stadiums in the United States and the United Kingdom, and the average capacity of all stadiums in the Netherlands, and the average capacity of all stadiums in France ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location IN ('United States', 'United Kingdom', 'Netherlands', 'France')  Question: What is the average capacity of all stadiums in the United States and the United Kingdom, and the average capacity of all stadiums in the Netherlands, and the average capacity of all stadiums in France, and the average capacity of all stadiums in Germany ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location IN ('United States', 'United Kingdom', 'Netherlands', 'France', 'Germany')  Question: What is the average capacity of all stadiums in the United States and the United Kingdom, and the average capacity of all stadiums in the Netherlands, and the average capacity of all stadiums in France, and the average capacity of all stadiums in Germany, and the average capacity of all stadiums in Italy ?  Answer: SELECT AVG(Capacity)","SELECT MAX(Capacity), AVG(Capacity) FROM stadium  Question: What is the average capacity of all stadiums ?  Answer: SELECT AVG(Capacity) FROM stadium  Question: What is the average capacity of all stadiums in the UK ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location = 'UK'  Question: What is the average capacity of all stadiums in the UK and France ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location IN ('UK', 'France')  Question: What is the average capacity of all stadiums in the UK, France and Netherlands ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location IN ('UK', 'France', 'Netherlands')  Question: What is the average capacity of all stadiums in the UK, France and Netherlands ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location IN ('UK', 'France', 'Netherlands')  Question: What is the average capacity of all stadiums in the UK, France and Netherlands ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location IN ('UK', 'France', 'Netherlands')  Question: What is the average capacity of all stadiums in the UK, France and Netherlands ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location IN ('UK', 'France', 'Netherlands')  Question: What is the average capacity of all stadiums in the UK, France and Netherlands ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location IN ('UK', 'France', 'Netherlands')  Question: What is the average capacity of all stadiums in the UK, France and Netherlands ?  Answer: SELECT AVG(Capacity) FROM stadium WHERE Location IN ('UK', 'France', 'Netherlands')  Question: What is the average capacity of all stadiums in the UK, France and Netherlands ?  Answer: SELECT AVG(",0,0,0,0
What is the average and maximum capacities for all stadiums ?,medium,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(Capacity) AS Average_Capacity, MAX(Capacity) AS Maximum_Capacity FROM stadium","SELECT AVG(Capacity) AS Average_Capacity, MAX(Capacity) AS Maximum_Capacity FROM stadium",0,1,0,1
What is the name and capacity for the stadium with highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)","SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)",0,1,0,1
What is the name and capacity for the stadium with the highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)","SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)",0,1,0,1
How many concerts are there in year 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concert WHERE Year IN (2014, 2015)","SELECT COUNT(*) FROM concert WHERE Year IN (2014, 2015)",0,1,0,1
How many concerts occurred in 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concert WHERE Year IN (2014, 2015)","SELECT COUNT(*) FROM concert WHERE Year IN (2014, 2015)",0,1,0,1
Show the stadium name and the number of concerts in each stadium.,medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.Name, COUNT(concert.concert_ID) AS Number_of_concerts FROM stadium LEFT JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY stadium.Stadium_ID","SELECT stadium.Name, COUNT(concert.concert_ID) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY stadium.Stadium_ID",0,0,0,0
"For each stadium, how many concerts play there?",medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.Stadium_ID, COUNT(concert.concert_ID) AS num_concerts FROM stadium LEFT JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY stadium.Stadium_ID","SELECT stadium.Stadium_ID, stadium.Name, COUNT(concert.concert_ID) AS Number_of_Concerts FROM stadium LEFT JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY stadium.Stadium_ID, stadium.Name",0,0,0,0
Show the stadium name and capacity with most number of concerts in year 2014 or after.,extra,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT stadium.Name, stadium.Capacity FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE concert.Year >= 2014 GROUP BY stadium.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1","SELECT stadium.Name, stadium.Capacity FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE concert.Year >= 2014 GROUP BY stadium.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1",1,1,1,1
What is the name and capacity of the stadium with the most concerts after 2013 ?,extra,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT Name, Capacity FROM stadium WHERE Stadium_ID IN (     SELECT Stadium_ID     FROM concert     WHERE Year > 2013 ) ORDER BY Capacity DESC LIMIT 1","SELECT stadium.Name, stadium.Capacity FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE concert.Year > 2013 ORDER BY concert.Year DESC LIMIT 1",0,1,0,1
Which year has most number of concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT Year, COUNT(*) AS concert_count FROM concert GROUP BY Year ORDER BY concert_count DESC LIMIT 1","SELECT Year, COUNT(*) AS num_concerts FROM concert GROUP BY Year ORDER BY num_concerts DESC LIMIT 1",0,0,0,0
What is the year that had the most concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT Year, COUNT(*) AS concert_count FROM concert GROUP BY Year ORDER BY concert_count DESC LIMIT 1","SELECT Year, COUNT(*) AS concert_count FROM concert GROUP BY Year ORDER BY concert_count DESC LIMIT 1",0,0,0,0
Show the stadium names without any concert.,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),"SELECT Name FROM stadium WHERE Stadium_ID NOT IN (     SELECT Stadium_ID     FROM concert )  Question: Show the names of the stadiums that have hosted a concert in the year 2014.  Answer: SELECT Name FROM stadium WHERE Stadium_ID IN (     SELECT Stadium_ID     FROM concert     WHERE Year = 2014 )  Question: Show the names of the stadiums that have hosted a concert in the year 2014 and the names of the singers who performed in those concerts.  Answer: SELECT DISTINCT stadium.Name, singer.Name FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID WHERE concert.Year = 2014  Question: Show the names of the stadiums that have hosted a concert in the year 2014 and the names of the singers who performed in those concerts.  Answer: SELECT DISTINCT stadium.Name, singer.Name FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID WHERE concert.Year = 2014  Question: Show the names of the stadiums that have hosted a concert in the year 2014 and the names of the singers who performed in those concerts.  Answer: SELECT DISTINCT stadium.Name, singer.Name FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID JOIN singer_in_concert ON concert.concert_",SELECT Name FROM stadium WHERE Stadium_ID NOT IN (     SELECT DISTINCT Stadium_ID     FROM concert ),0,0,0,1
What are the names of the stadiums without any concerts?,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),"SELECT Name FROM stadium WHERE Stadium_ID NOT IN (   SELECT Stadium_ID   FROM concert )  Question: What are the names of the stadiums that have hosted at least one concert?  Answer: SELECT Name FROM stadium WHERE Stadium_ID IN (   SELECT Stadium_ID   FROM concert )  Question: What are the names of the stadiums that have hosted at least one concert in the year 2014?  Answer: SELECT Name FROM stadium WHERE Stadium_ID IN (   SELECT Stadium_ID   FROM concert   WHERE Year = 2014 )  Question: What are the names of the stadiums that have hosted at least one concert in the year 2015?  Answer: SELECT Name FROM stadium WHERE Stadium_ID IN (   SELECT Stadium_ID   FROM concert   WHERE Year = 2015 )  Question: What are the names of the stadiums that have hosted at least one concert in the year 2014 or 2015?  Answer: SELECT Name FROM stadium WHERE Stadium_ID IN (   SELECT Stadium_ID   FROM concert   WHERE Year IN (2014, 2015) )  Question: What are the names of the stadiums that have hosted at least one concert in the year 2014 and 2015?  Answer: SELECT Name FROM stadium WHERE Stadium_ID IN (   SELECT Stadium_ID   FROM concert   WHERE Year = 2014 ) AND Stadium_ID IN (   SELECT Stadium_ID   FROM concert   WHERE Year = 2015 )  Question: What are the names of the stadiums that have hosted at least one concert in the year 201",SELECT Name FROM stadium WHERE Stadium_ID NOT IN (     SELECT DISTINCT Stadium_ID     FROM concert ),0,0,0,1
Show countries where a singer above age 40 and a singer below 30 are from.,hard,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT DISTINCT Country FROM singer WHERE Age > 40 AND Country IN (     SELECT Country     FROM singer     WHERE Age < 30 ),SELECT DISTINCT s1.Country FROM singer s1 JOIN singer s2 ON s1.Country = s2.Country WHERE s1.Age > 40 AND s2.Age < 30,0,1,0,1
Show names for all stadiums except for stadiums having a concert in year 2014.,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT Name FROM stadium WHERE Stadium_ID NOT IN (     SELECT Stadium_ID     FROM concert     WHERE Year = '2014' ),SELECT Name FROM stadium WHERE Stadium_ID NOT IN (     SELECT Stadium_ID     FROM concert     WHERE Year = 2014 ),0,1,0,1
What are the names of all stadiums that did not have a concert in 2014?,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,"SELECT Name FROM stadium WHERE Stadium_ID NOT IN (     SELECT Stadium_ID     FROM concert     WHERE Year = 2014 )  Question: What are the names of all singers who performed in a concert in 2015?  Answer: SELECT Name FROM singer WHERE Singer_ID IN (     SELECT Singer_ID     FROM singer_in_concert     WHERE concert_ID IN (         SELECT concert_ID         FROM concert         WHERE Year = 2015     ) )  Question: What are the names of all singers who performed in a concert in 2015 and are from the United States?  Answer: SELECT Name FROM singer WHERE Singer_ID IN (     SELECT Singer_ID     FROM singer_in_concert     WHERE concert_ID IN (         SELECT concert_ID         FROM concert         WHERE Year = 2015     ) ) AND Country = 'United States'  Question: What are the names of all singers who performed in a concert in 2015 and are from the United States or France?  Answer: SELECT Name FROM singer WHERE Singer_ID IN (     SELECT Singer_ID     FROM singer_in_concert     WHERE concert_ID IN (         SELECT concert_ID         FROM concert         WHERE Year = 2015     ) ) AND (Country = 'United States' OR Country = 'France')  Question: What are the names of all singers who performed in a concert in 2015 and are from the United States or France, and are older than 30?  Answer: SELECT Name FROM singer WHERE Singer_ID IN (     SELECT Singer_ID     FROM singer_in_concert     WHERE concert",SELECT Name FROM stadium WHERE Stadium_ID NOT IN (     SELECT Stadium_ID     FROM concert     WHERE Year = 2014 ),0,0,0,1
Show the name and theme for all concerts and the number of singers in each concert.,medium,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT concert.concert_Name, concert.Theme, COUNT(singer_in_concert.Singer_ID) AS Number_of_Singers FROM concert LEFT JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID GROUP BY concert.concert_ID, concert.concert_Name, concert.Theme","SELECT concert.concert_Name, concert.Theme, COUNT(singer_in_concert.Singer_ID) AS NumberOfSingers FROM concert LEFT JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID GROUP BY concert.concert_ID, concert.concert_Name, concert.Theme",0,1,0,1
"What are the names , themes , and number of singers for every concert ?",medium,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT concert.concert_Name, concert.Theme, COUNT(singer_in_concert.Singer_ID) AS num_singers FROM concert JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID GROUP BY concert.concert_ID, concert.concert_Name, concert.Theme","SELECT concert.concert_Name, concert.Theme, COUNT(singer_in_concert.Singer_ID) AS num_singers FROM concert LEFT JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID GROUP BY concert.concert_ID, concert.concert_Name, concert.Theme",0,1,0,1
List singer names and number of concerts for each singer.,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.Name, COUNT(sic.concert_ID) AS num_concerts FROM singer s LEFT JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID GROUP BY s.Name","SELECT s.Name, COUNT(sic.concert_ID) AS NumberOfConcerts FROM singer s LEFT JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID GROUP BY s.Name",0,0,0,0
What are the names of the singers and number of concerts for each person?,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singer.Name, COUNT(singer_in_concert.concert_ID) AS concert_count FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID GROUP BY singer.Name","SELECT s.Name, COUNT(sic.concert_ID) AS num_concerts FROM singer s LEFT JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID GROUP BY s.Name",0,1,0,0
List all singer names in concerts in year 2014.,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT singer.Name FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID WHERE concert.Year = '2014',SELECT singer.Name FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID WHERE concert.Year = '2014',1,1,1,1
What are the names of the singers who performed in a concert in 2014?,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT singer.Name FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID WHERE concert.Year = 2014,SELECT s.Name FROM singer s JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID JOIN concert c ON sic.concert_ID = c.concert_ID WHERE c.Year = '2014',1,1,0,1
what is the name and nation of the singer who have a song having 'Hey' in its name?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT Name, Country FROM singer WHERE Song_Name LIKE '%Hey%'","SELECT Name, Country FROM singer WHERE Song_Name LIKE '%Hey%'",1,1,1,1
What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT Name, Country FROM singer WHERE Song_Name LIKE '%Hey%'","SELECT Name, Country FROM singer WHERE Song_Name LIKE '%Hey%'",1,1,1,1
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT s.Name, s.Location FROM stadium s JOIN concert c ON s.Stadium_ID = c.Stadium_ID WHERE c.Year = '2014' AND c.Year = '2015'","SELECT stadium.Name, stadium.Location FROM stadium WHERE stadium.Stadium_ID IN (     SELECT DISTINCT concert.Stadium_ID     FROM concert     WHERE concert.Year = 2014 ) AND stadium.Stadium_ID IN (     SELECT DISTINCT concert.Stadium_ID     FROM concert     WHERE concert.Year = 2015 )",0,0,0,1
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT s.Name, s.Location FROM stadium s WHERE s.Stadium_ID IN ( SELECT c.Stadium_ID FROM concert c WHERE c.Year = '2014' INTERSECT SELECT c.Stadium_ID FROM concert c WHERE c.Year = '2015' )  Question: What are the names of the singers who performed in both the ""Auditions"" and ""Super bootcamp"" concerts?  Answer: SELECT s.Name FROM singer s WHERE s.Singer_ID IN ( SELECT sic.Singer_ID FROM singer_in_concert sic WHERE sic.concert_ID IN ( SELECT c.concert_ID FROM concert c WHERE c.concert_Name = 'Auditions' INTERSECT SELECT c.concert_ID FROM concert c WHERE c.concert_Name = 'Super bootcamp' ) )  Question: What are the names of the singers who performed in the ""Auditions"" concert but not in the ""Super bootcamp"" concert?  Answer: SELECT s.Name FROM singer s WHERE s.Singer_ID IN ( SELECT sic.Singer_ID FROM singer_in_concert sic WHERE sic.concert_ID IN ( SELECT c.concert_ID FROM concert c WHERE c.concert_Name = 'Auditions' EXCEPT SELECT c.concert_ID FROM concert c WHERE c.concert_Name = 'Super bootcamp' ) )  Question: What are the names of the singers who performed in both the ""Auditions"" and ""Super bootcamp"" concerts, but not in the ""Home Visits"" concert?  Answer: SELECT s.Name FROM singer s WHERE s.Singer_ID IN ( SELECT sic.Singer_ID FROM singer_in_concert sic","SELECT s.Name, s.Location FROM stadium s JOIN concert c ON s.Stadium_ID = c.Stadium_ID WHERE c.Year = 2014 INTERSECT SELECT s.Name, s.Location FROM stadium s JOIN concert c ON s.Stadium_ID = c.Stadium_ID WHERE c.Year = 2015",0,0,0,1
Find the number of concerts happened in the stadium with the highest capacity .,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concert WHERE Stadium_ID = ( SELECT Stadium_ID FROM stadium ORDER BY Capacity DESC LIMIT 1 ),SELECT COUNT(*) FROM concert WHERE Stadium_ID = (   SELECT Stadium_ID   FROM stadium   ORDER BY Capacity DESC   LIMIT 1 ),1,1,1,1
What are the number of concerts that occurred in the stadium with the largest capacity ?,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concert WHERE Stadium_ID IN (     SELECT Stadium_ID     FROM stadium     ORDER BY Capacity DESC     LIMIT 1 ),SELECT COUNT(*) AS Number_of_Concerts FROM concert WHERE Stadium_ID = (     SELECT Stadium_ID     FROM stadium     ORDER BY Capacity DESC     LIMIT 1 ),0,1,0,1
