Question,Hardness,Gold,Without Description,With Description,EM Without,EX Without,EM With,EX With
What are all the song names by singers who are older than average?,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.Song_Name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID  WHERE s.Age > (SELECT AVG(Age) FROM singer),SELECT s.Song_Name FROM singer AS s WHERE s.Age > (SELECT AVG(s.Age) FROM singer AS s),0,0,1,1
Show location and name for all stadiums with a capacity between 5000 and 10000.,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000","SELECT Location, Name  FROM stadium  WHERE Capacity BETWEEN 5000 AND 10000",1,1,1,1
What are the locations and names of all stations with capacity between 5000 and 10000?,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000","SELECT Location, Name  FROM stadium  WHERE Capacity BETWEEN 5000 AND 10000",1,1,1,1
What is the maximum capacity and the average of all stadiums ?,medium,"select max(capacity), average from stadium","SELECT MAX(Capacity), AVG(Capacity) FROM stadium","SELECT MAX(Capacity), AVG(Capacity) FROM stadium",0,0,0,0
What is the average and maximum capacities for all stadiums ?,medium,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(Capacity), MAX(Capacity) FROM stadium","SELECT AVG(Capacity) AS Average_Capacity, MAX(Capacity) AS Max_Capacity FROM stadium",1,1,0,1
What is the name and capacity for the stadium with highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT Name, Capacity  FROM stadium  WHERE Average = (SELECT MAX(Average) FROM stadium)","SELECT Name, Capacity  FROM stadium  WHERE Average = (SELECT MAX(Average) FROM stadium)",0,1,0,1
What is the name and capacity for the stadium with the highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT Name, Capacity  FROM stadium  ORDER BY Average DESC  LIMIT 1","SELECT Name, Capacity  FROM stadium  WHERE Average = (SELECT MAX(Average) FROM stadium)",1,1,0,1
How many concerts are there in year 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT(*) FROM concert WHERE Year = '2014' OR Year = '2015',"SELECT COUNT(*) FROM concert WHERE Year IN ('2014', '2015')",1,1,0,1
How many concerts occurred in 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concert WHERE Year IN ('2014', '2015')","SELECT COUNT(*) FROM concert WHERE Year IN ('2014', '2015')",0,1,0,1
Show the stadium name and the number of concerts in each stadium.,medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.Name, COUNT(concert.concert_ID) as Number_of_Concerts FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY stadium.Name","SELECT stadium.Name, COUNT(concert.concert_ID) as Number_of_Concerts FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY stadium.Name",0,1,0,1
"For each stadium, how many concerts play there?",medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.Name, COUNT(concert.concert_ID) as Number_of_Concerts FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY stadium.Name","SELECT stadium.Name, COUNT(concert.concert_ID) AS Number_of_Concerts FROM stadium LEFT JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY stadium.Name",0,1,0,0
Show the stadium name and capacity with most number of concerts in year 2014 or after.,extra,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT stadium.Name, stadium.Capacity  FROM stadium  INNER JOIN (SELECT concert.Stadium_ID, COUNT(*) as num_concerts              FROM concert              WHERE Year >= 2014              GROUP BY concert.Stadium_ID              ORDER BY num_concerts DESC              LIMIT 1) as subquery  ON stadium.Stadium_ID = subquery.Stadium_ID","SELECT s.Name, s.Capacity FROM stadium AS s JOIN (     SELECT c.Stadium_ID, COUNT(*) AS num_concerts     FROM concert AS c     WHERE c.Year >= 2014     GROUP BY c.Stadium_ID     ORDER BY num_concerts DESC     LIMIT 1 ) AS subquery ON s.Stadium_ID = subquery.Stadium_ID",0,1,0,1
What is the name and capacity of the stadium with the most concerts after 2013 ?,extra,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT stadium.Name, stadium.Capacity FROM stadium JOIN (     SELECT concert.Stadium_ID     FROM concert     WHERE concert.Year > 2013     GROUP BY concert.Stadium_ID     ORDER BY COUNT(*) DESC     LIMIT 1 ) AS most_concerts ON stadium.Stadium_ID = most_concerts.Stadium_ID","SELECT stadium.Name, stadium.Capacity FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE concert.Year > 2013 GROUP BY stadium.Stadium_ID ORDER BY COUNT(concert.concert_ID) DESC LIMIT 1",0,1,0,1
Which year has most number of concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT Year, COUNT(*) as Number_of_concerts FROM concert GROUP BY Year ORDER BY Number_of_concerts DESC LIMIT 1","SELECT Year, COUNT(concert_ID) AS Number_of_concerts FROM concert GROUP BY Year ORDER BY Number_of_concerts DESC LIMIT 1",0,0,0,0
What is the year that had the most concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT Year, COUNT(concert_ID) AS num_concerts  FROM concert  GROUP BY Year  ORDER BY num_concerts DESC  LIMIT 1","SELECT Year, COUNT(concert_ID) as num_concerts FROM concert GROUP BY Year ORDER BY num_concerts DESC LIMIT 1",0,0,0,0
Show the stadium names without any concert.,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert WHERE concert_ID IN (SELECT concert_ID FROM singer_in_concert)),SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert),0,1,1,1
What are the names of the stadiums without any concerts?,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert WHERE concert_ID IN (SELECT concert_ID FROM singer_in_concert)),SELECT s.Name  FROM stadium s  LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID  WHERE c.Stadium_ID IS NULL,0,1,0,1
Show countries where a singer above age 40 and a singer below 30 are from.,hard,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT DISTINCT s1.Country  FROM singer AS s1 JOIN singer AS s2  ON s1.Country = s2.Country WHERE s1.Age > 40 AND s2.Age < 30,SELECT DISTINCT s1.Country  FROM singer AS s1 JOIN singer_in_concert AS sic1 ON s1.Singer_ID = sic1.Singer_ID JOIN concert AS c1 ON sic1.concert_ID = c1.concert_ID JOIN stadium AS st1 ON c1.Stadium_ID = st1.Stadium_ID JOIN singer AS s2 ON s1.Singer_ID != s2.Singer_ID JOIN singer_in_concert AS sic2 ON s2.Singer_ID = sic2.Singer_ID JOIN concert AS c2 ON sic2.concert_ID = c2.concert_ID JOIN stadium AS st2 ON c2.Stadium_ID = st2.Stadium_ID WHERE s1.Age > 40 AND s2.Age < 30 AND s1.Country = s2.Country,0,1,0,1
Show names for all stadiums except for stadiums having a concert in year 2014.,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT stadium.Name  FROM stadium  LEFT JOIN (SELECT stadium_ID FROM concert WHERE Year = '2014') AS t  ON stadium.Stadium_ID = t.stadium_ID  WHERE t.stadium_ID IS NULL,SELECT s.Name  FROM stadium s  LEFT JOIN (SELECT DISTINCT c.Stadium_ID             FROM concert c             WHERE c.Year = '2014') c  ON s.Stadium_ID = c.Stadium_ID  WHERE c.Stadium_ID IS NULL,0,1,0,1
What are the names of all stadiums that did not have a concert in 2014?,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT stadium.Name  FROM stadium  LEFT JOIN (SELECT concert.Stadium_ID             FROM concert             WHERE concert.Year = '2014') AS concert_2014  ON stadium.Stadium_ID = concert_2014.Stadium_ID  WHERE concert_2014.Stadium_ID IS NULL,SELECT Name  FROM stadium  WHERE Stadium_ID NOT IN (     SELECT DISTINCT stadium.Stadium_ID      FROM stadium      JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID      WHERE Year = '2014' ),0,1,0,1
Show the name and theme for all concerts and the number of singers in each concert.,medium,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT c.concert_Name, c.Theme, COUNT(sic.Singer_ID) AS Number_of_Singers FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_ID = sic.concert_ID GROUP BY c.concert_ID","SELECT c.concert_Name, c.Theme, COUNT(sic.Singer_ID) AS Number_of_Singers FROM concert AS c LEFT JOIN singer_in_concert AS sic ON c.concert_ID = sic.concert_ID GROUP BY c.concert_ID",0,1,0,1
"What are the names , themes , and number of singers for every concert ?",medium,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT c.concert_Name, c.Theme, COUNT(sic.Singer_ID) as Number_of_Singers FROM concert as c JOIN singer_in_concert as sic ON c.concert_ID = sic.concert_ID GROUP BY c.concert_ID","SELECT c.concert_Name, c.Theme, COUNT(sic.Singer_ID) as Number_of_Singers FROM concert as c JOIN singer_in_concert as sic ON c.concert_ID = sic.concert_ID GROUP BY c.concert_ID",0,1,0,1
List singer names and number of concerts for each singer.,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.Name, COUNT(sic.concert_ID) as Number_of_concerts FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID GROUP BY s.Name","SELECT s.Name, COUNT(sic.concert_ID) as Number_of_Concerts FROM singer s JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID GROUP BY s.Singer_ID",0,1,0,1
What are the names of the singers and number of concerts for each person?,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singer.Name, COUNT(singer_in_concert.concert_ID) as Number_of_concerts  FROM singer  JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID  GROUP BY singer.Singer_ID","SELECT s.Name, COUNT(sic.concert_ID) as Number_of_Concerts FROM singer as s JOIN singer_in_concert as sic ON s.Singer_ID = sic.Singer_ID GROUP BY s.Name",0,1,0,1
List all singer names in concerts in year 2014.,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT singer.Name  FROM singer  INNER JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID  INNER JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID  WHERE concert.Year = '2014',SELECT s.Name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID  JOIN concert AS c ON sic.concert_ID = c.concert_ID  WHERE c.Year = '2014',0,1,1,1
What are the names of the singers who performed in a concert in 2014?,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT singer.Name  FROM singer  INNER JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID INNER JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID WHERE concert.Year = '2014',SELECT singer.Name  FROM singer  JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID  JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID  WHERE concert.Year = '2014',0,1,1,1
what is the name and nation of the singer who have a song having 'Hey' in its name?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT singer.Name, singer.Country  FROM singer  WHERE singer.Song_Name LIKE '%Hey%'","SELECT singer.Name, singer.Country  FROM singer  WHERE singer.Song_Name LIKE '%Hey%'",1,1,1,1
What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT singer.Name, singer.Country  FROM singer  INNER JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID  WHERE singer.Song_Name LIKE '%Hey%'","SELECT singer.Name, singer.Country  FROM singer  WHERE singer.Song_Name LIKE '%Hey%'",0,1,1,1
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT stadium.Name, stadium.Location  FROM stadium  JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID  WHERE concert.Year IN ('2014', '2015') GROUP BY stadium.Name, stadium.Location HAVING COUNT(DISTINCT concert.Year) = 2","SELECT DISTINCT s.Name, s.Location FROM stadium s JOIN concert c ON s.Stadium_ID = c.Stadium_ID WHERE c.Year IN ('2014', '2015')",0,1,0,0
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT DISTINCT stadium.Name, stadium.Location  FROM stadium  INNER JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID  WHERE concert.Year IN ('2014', '2015') GROUP BY stadium.Stadium_ID HAVING COUNT(DISTINCT concert.Year) = 2","SELECT DISTINCT stadium.Name, stadium.Location FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE concert.Year IN ('2014', '2015') GROUP BY stadium.Stadium_ID HAVING COUNT(DISTINCT concert.Year) = 2",0,1,0,1
Find the number of concerts happened in the stadium with the highest capacity .,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*)  FROM concert  WHERE stadium_ID = (SELECT Stadium_ID FROM stadium WHERE Capacity = (SELECT MAX(Capacity) FROM stadium)),SELECT COUNT(concert.concert_ID)  FROM concert  JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID  WHERE stadium.Capacity = (SELECT MAX(Capacity) FROM stadium),0,1,0,1
What are the number of concerts that occurred in the stadium with the largest capacity ?,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*)  FROM concert  WHERE stadium_ID =      (SELECT Stadium_ID      FROM stadium      ORDER BY Capacity DESC      LIMIT 1),SELECT COUNT(concert.concert_ID)  FROM concert  INNER JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID  WHERE stadium.Capacity = (SELECT MAX(Capacity) FROM stadium),1,1,0,1
